transaction_id,sales_module_transaction_id,transaction_source,tender_type,store_no,customer_id,sales_associate_no,transaction_type,transaction_date,pos_transaction_no,register_no,segmentation_flag_a,segmentation_flag_b,segmentation_flag_c,segmentation_flag_d,segmentation_flag_e,segmentation_flag_f,segmentation_flag_g,segmentation_flag_h,customer_no_flag,total_net_retail,no_transaction_lines,reward_points_flag,total_net_retail_central,exchange_rate,currency_code,posted_date,transaction_time,tender_amount_total,tender_amount_total_central,no_tender_lines
58477101,0,1,AMEX,9422,1843,41004,S,13-06-2025 00:00,23467,9,0,0,0,0,0,0,0,0,1,319.15,4,1,319.15,1,USD,14-06-2025 00:00,13-06-2025 00:00,319.15,319.15,1
58477102,0,1,CHECK,9451,4352,29487,S,10-11-2018 00:00,42959,7,0,0,0,0,0,0,0,0,1,442.99,2,1,442.99,1,USD,11-11-2018 00:00,10-11-2018 00:00,442.99,442.99,1
58477103,0,1,CHECK,2,3113,54051,S,30-09-2022 00:00,46660,8,0,0,0,0,0,0,0,0,1,392.86,5,1,392.86,1,USD,01-10-2022 00:00,30-09-2022 00:00,392.86,392.86,1
58477104,0,1,DISC,2,436,79070,R,22-01-2019 00:00,34344,1,0,0,0,0,0,0,0,0,1,343.16,1,1,343.16,1,USD,23-01-2019 00:00,22-01-2019 00:00,343.16,343.16,1
58477105,0,1,DISC,1,502,80373,S,03-11-2022 00:00,15150,5,0,0,0,0,0,0,0,0,1,321.75,3,1,321.75,1,USD,04-11-2022 00:00,03-11-2022 00:00,321.75,321.75,1
58477106,0,1,VISA,9330,857,20340,S,25-07-2021 00:00,44969,7,0,0,0,0,0,0,0,0,1,151.86,5,1,151.86,1,USD,26-07-2021 00:00,25-07-2021 00:00,151.86,151.86,1
58477107,0,1,MAST,9851,1980,37674,R,06-10-2024 00:00,87953,4,0,0,0,0,0,0,0,0,1,432.59,4,1,432.59,1,USD,07-10-2024 00:00,06-10-2024 00:00,432.59,432.59,1
58477108,0,1,VISA,9588,2789,55683,S,17-02-2015 00:00,50655,5,0,0,0,0,0,0,0,0,1,145.75,3,1,145.75,1,USD,18-02-2015 00:00,17-02-2015 00:00,145.75,145.75,1
58477109,0,1,GIFT,9851,3205,67318,R,31-03-2012 00:00,40369,3,0,0,0,0,0,0,0,0,1,287.93,2,1,287.93,1,USD,01-04-2012 00:00,31-03-2012 00:00,287.93,287.93,1
58477110,0,1,VISA,9588,3771,26051,S,24-06-2021 00:00,77120,3,0,0,0,0,0,0,0,0,1,399.53,4,1,399.53,1,USD,25-06-2021 00:00,24-06-2021 00:00,399.53,399.53,1
58477111,0,1,MAST,9422,685,71374,R,13-06-2019 00:00,50916,3,0,0,0,0,0,0,0,0,1,101.16,3,1,101.16,1,USD,14-06-2019 00:00,13-06-2019 00:00,101.16,101.16,1
58477112,0,1,AMEX,2,3681,65501,R,28-02-2024 00:00,70508,4,0,0,0,0,0,0,0,0,1,439.9,1,1,439.9,1,USD,29-02-2024 00:00,28-02-2024 00:00,439.9,439.9,1
58477113,0,1,VISA,9422,3797,92825,S,26-09-2018 00:00,58218,8,0,0,0,0,0,0,0,0,1,72.16,2,1,72.16,1,USD,27-09-2018 00:00,26-09-2018 00:00,72.16,72.16,1
58477114,0,1,AMEX,9588,234,73740,S,18-12-2014 00:00,24544,1,0,0,0,0,0,0,0,0,1,299.27,3,1,299.27,1,USD,19-12-2014 00:00,18-12-2014 00:00,299.27,299.27,1
58477115,0,1,MAST,2,4904,44454,S,01-06-2013 00:00,57307,8,0,0,0,0,0,0,0,0,1,195.9,3,1,195.9,1,USD,02-06-2013 00:00,01-06-2013 00:00,195.9,195.9,1
58477116,0,1,MAST,9588,27,69968,R,31-03-2015 00:00,82053,6,0,0,0,0,0,0,0,0,1,230.56,5,1,230.56,1,USD,01-04-2015 00:00,31-03-2015 00:00,230.56,230.56,1
58477117,0,1,MAST,9851,2210,53237,S,26-01-2012 00:00,80711,3,0,0,0,0,0,0,0,0,1,446.47,4,1,446.47,1,USD,27-01-2012 00:00,26-01-2012 00:00,446.47,446.47,1
58477118,0,1,CASH,1,1496,10182,S,24-04-2021 00:00,64342,2,0,0,0,0,0,0,0,0,1,278.89,2,1,278.89,1,USD,25-04-2021 00:00,24-04-2021 00:00,278.89,278.89,1
58477119,0,1,CHECK,9588,2597,17429,R,28-01-2025 00:00,63899,6,0,0,0,0,0,0,0,0,1,292.22,5,1,292.22,1,USD,29-01-2025 00:00,28-01-2025 00:00,292.22,292.22,1
58477120,0,1,VISA,9422,1923,77540,S,05-11-2018 00:00,81247,6,0,0,0,0,0,0,0,0,1,292.16,1,1,292.16,1,USD,06-11-2018 00:00,05-11-2018 00:00,292.16,292.16,1
58477121,0,1,VISA,9588,4443,85943,S,27-03-2013 00:00,38964,7,0,0,0,0,0,0,0,0,1,221.76,3,1,221.76,1,USD,28-03-2013 00:00,27-03-2013 00:00,221.76,221.76,1
58477122,0,1,MAST,9330,1037,17937,S,20-07-2023 00:00,57253,4,0,0,0,0,0,0,0,0,1,373.15,1,1,373.15,1,USD,21-07-2023 00:00,20-07-2023 00:00,373.15,373.15,1
58477123,0,1,CHECK,9422,2963,74747,S,20-12-2022 00:00,10116,8,0,0,0,0,0,0,0,0,1,455.86,2,1,455.86,1,USD,21-12-2022 00:00,20-12-2022 00:00,455.86,455.86,1
58477124,0,1,CASH,1,4651,93437,S,11-07-2025 00:00,67056,9,0,0,0,0,0,0,0,0,1,247.71,5,1,247.71,1,USD,12-07-2025 00:00,11-07-2025 00:00,247.71,247.71,1
58477125,0,1,DISC,9588,1727,26516,R,28-11-2025 00:00,47246,6,0,0,0,0,0,0,0,0,1,245.52,3,1,245.52,1,USD,29-11-2025 00:00,28-11-2025 00:00,245.52,245.52,1
58477126,0,1,CHECK,9422,3548,50502,S,16-10-2014 00:00,82942,4,0,0,0,0,0,0,0,0,1,199.96,4,1,199.96,1,USD,17-10-2014 00:00,16-10-2014 00:00,199.96,199.96,1
58477127,0,1,GIFT,5011,3412,32590,S,07-09-2021 00:00,39499,5,0,0,0,0,0,0,0,0,1,367.68,3,1,367.68,1,USD,08-09-2021 00:00,07-09-2021 00:00,367.68,367.68,1
58477128,0,1,AMEX,9422,2660,67268,R,26-09-2022 00:00,23064,1,0,0,0,0,0,0,0,0,1,177.03,3,1,177.03,1,USD,27-09-2022 00:00,26-09-2022 00:00,177.03,177.03,1
58477129,0,1,CHECK,2,2903,66263,S,21-10-2021 00:00,91569,10,0,0,0,0,0,0,0,0,1,373.66,1,1,373.66,1,USD,22-10-2021 00:00,21-10-2021 00:00,373.66,373.66,1
58477130,0,1,CASH,5011,208,21835,S,14-08-2020 00:00,79765,6,0,0,0,0,0,0,0,0,1,196.1,2,1,196.1,1,USD,15-08-2020 00:00,14-08-2020 00:00,196.1,196.1,1
58477131,0,1,GIFT,1,2927,51668,R,25-06-2013 00:00,81308,9,0,0,0,0,0,0,0,0,1,109.55,5,1,109.55,1,USD,26-06-2013 00:00,25-06-2013 00:00,109.55,109.55,1
58477132,0,1,CASH,1,4219,36161,S,23-06-2013 00:00,19290,4,0,0,0,0,0,0,0,0,1,111.41,5,1,111.41,1,USD,24-06-2013 00:00,23-06-2013 00:00,111.41,111.41,1
58477133,0,1,GIFT,5011,339,12605,S,03-12-2016 00:00,89804,5,0,0,0,0,0,0,0,0,1,111.09,5,1,111.09,1,USD,04-12-2016 00:00,03-12-2016 00:00,111.09,111.09,1
58477134,0,1,DISC,9851,2514,44377,S,19-09-2012 00:00,34956,8,0,0,0,0,0,0,0,0,1,335.13,5,1,335.13,1,USD,20-09-2012 00:00,19-09-2012 00:00,335.13,335.13,1
58477135,0,1,AMEX,9330,3020,49209,S,15-01-2014 00:00,41070,4,0,0,0,0,0,0,0,0,1,109.79,5,1,109.79,1,USD,16-01-2014 00:00,15-01-2014 00:00,109.79,109.79,1
58477136,0,1,CHECK,2,1721,54538,S,21-04-2020 00:00,53442,8,0,0,0,0,0,0,0,0,1,306.87,4,1,306.87,1,USD,22-04-2020 00:00,21-04-2020 00:00,306.87,306.87,1
58477137,0,1,DISC,5011,4223,55819,S,10-09-2013 00:00,23140,8,0,0,0,0,0,0,0,0,1,110.41,1,1,110.41,1,USD,11-09-2013 00:00,10-09-2013 00:00,110.41,110.41,1
58477138,0,1,CASH,1,2250,84897,R,14-01-2017 00:00,36341,6,0,0,0,0,0,0,0,0,1,262.7,5,1,262.7,1,USD,15-01-2017 00:00,14-01-2017 00:00,262.7,262.7,1
58477139,0,1,GIFT,2,4438,72465,S,21-12-2018 00:00,73651,10,0,0,0,0,0,0,0,0,1,123.21,1,1,123.21,1,USD,22-12-2018 00:00,21-12-2018 00:00,123.21,123.21,1
58477140,0,1,DISC,9451,4358,33638,S,16-07-2025 00:00,98931,7,0,0,0,0,0,0,0,0,1,450.78,4,1,450.78,1,USD,17-07-2025 00:00,16-07-2025 00:00,450.78,450.78,1
58477141,0,1,GIFT,9451,2155,84576,S,07-06-2015 00:00,26676,7,0,0,0,0,0,0,0,0,1,174.57,5,1,174.57,1,USD,08-06-2015 00:00,07-06-2015 00:00,174.57,174.57,1
58477142,0,1,VISA,9851,3651,98165,R,06-12-2015 00:00,11041,1,0,0,0,0,0,0,0,0,1,301.69,5,1,301.69,1,USD,07-12-2015 00:00,06-12-2015 00:00,301.69,301.69,1
58477143,0,1,AMEX,9588,615,38199,S,22-04-2017 00:00,33068,9,0,0,0,0,0,0,0,0,1,453.46,4,1,453.46,1,USD,23-04-2017 00:00,22-04-2017 00:00,453.46,453.46,1
58477144,0,1,CHECK,9330,454,53531,R,20-10-2014 00:00,76992,6,0,0,0,0,0,0,0,0,1,281.8,3,1,281.8,1,USD,21-10-2014 00:00,20-10-2014 00:00,281.8,281.8,1
58477145,0,1,MAST,9588,2743,75345,S,14-07-2023 00:00,52283,4,0,0,0,0,0,0,0,0,1,250.66,3,1,250.66,1,USD,15-07-2023 00:00,14-07-2023 00:00,250.66,250.66,1
58477146,0,1,AMEX,2,4115,29040,S,08-01-2014 00:00,82992,10,0,0,0,0,0,0,0,0,1,468.3,2,1,468.3,1,USD,09-01-2014 00:00,08-01-2014 00:00,468.3,468.3,1
58477147,0,1,DISC,9330,3030,16307,S,20-10-2014 00:00,91156,4,0,0,0,0,0,0,0,0,1,262.12,5,1,262.12,1,USD,21-10-2014 00:00,20-10-2014 00:00,262.12,262.12,1
58477148,0,1,CHECK,5011,4092,56242,S,03-10-2022 00:00,95684,8,0,0,0,0,0,0,0,0,1,287.52,2,1,287.52,1,USD,04-10-2022 00:00,03-10-2022 00:00,287.52,287.52,1
58477149,0,1,VISA,9588,2802,36976,S,14-08-2023 00:00,56852,7,0,0,0,0,0,0,0,0,1,400.52,2,1,400.52,1,USD,15-08-2023 00:00,14-08-2023 00:00,400.52,400.52,1
58477150,0,1,VISA,9422,1309,55876,S,15-12-2016 00:00,60928,10,0,0,0,0,0,0,0,0,1,160.16,3,1,160.16,1,USD,16-12-2016 00:00,15-12-2016 00:00,160.16,160.16,1
58477151,0,1,AMEX,9588,4521,77891,S,29-04-2019 00:00,15229,8,0,0,0,0,0,0,0,0,1,394.87,3,1,394.87,1,USD,30-04-2019 00:00,29-04-2019 00:00,394.87,394.87,1
58477152,0,1,MAST,5011,2854,33746,S,28-02-2014 00:00,21027,4,0,0,0,0,0,0,0,0,1,285.33,5,1,285.33,1,USD,01-03-2014 00:00,28-02-2014 00:00,285.33,285.33,1
58477153,0,1,MAST,2,4502,15422,S,18-08-2015 00:00,24783,3,0,0,0,0,0,0,0,0,1,377.36,2,1,377.36,1,USD,19-08-2015 00:00,18-08-2015 00:00,377.36,377.36,1
58477154,0,1,MAST,2,2038,93683,R,30-12-2012 00:00,93506,2,0,0,0,0,0,0,0,0,1,150.69,3,1,150.69,1,USD,31-12-2012 00:00,30-12-2012 00:00,150.69,150.69,1
58477155,0,1,AMEX,9851,660,17925,R,03-07-2016 00:00,32064,3,0,0,0,0,0,0,0,0,1,50.52,5,1,50.52,1,USD,04-07-2016 00:00,03-07-2016 00:00,50.52,50.52,1
58477156,0,1,VISA,9330,2584,42645,R,09-11-2018 00:00,71329,10,0,0,0,0,0,0,0,0,1,142.78,4,1,142.78,1,USD,10-11-2018 00:00,09-11-2018 00:00,142.78,142.78,1
58477157,0,1,CASH,9851,3647,44409,R,01-02-2016 00:00,89225,5,0,0,0,0,0,0,0,0,1,270.92,4,1,270.92,1,USD,02-02-2016 00:00,01-02-2016 00:00,270.92,270.92,1
58477158,0,1,DISC,9451,3615,63189,S,22-11-2025 00:00,60510,3,0,0,0,0,0,0,0,0,1,454.94,2,1,454.94,1,USD,23-11-2025 00:00,22-11-2025 00:00,454.94,454.94,1
58477159,0,1,MAST,5011,1493,96034,S,24-04-2021 00:00,27661,1,0,0,0,0,0,0,0,0,1,388.62,3,1,388.62,1,USD,25-04-2021 00:00,24-04-2021 00:00,388.62,388.62,1
58477160,0,1,CASH,9451,3175,13846,S,07-12-2024 00:00,96025,2,0,0,0,0,0,0,0,0,1,129.18,5,1,129.18,1,USD,08-12-2024 00:00,07-12-2024 00:00,129.18,129.18,1
58477161,0,1,DISC,2,4667,39600,S,13-03-2021 00:00,56296,5,0,0,0,0,0,0,0,0,1,284.52,5,1,284.52,1,USD,14-03-2021 00:00,13-03-2021 00:00,284.52,284.52,1
58477162,0,1,DISC,9588,2931,99980,R,02-03-2016 00:00,68989,10,0,0,0,0,0,0,0,0,1,242.55,3,1,242.55,1,USD,03-03-2016 00:00,02-03-2016 00:00,242.55,242.55,1
58477163,0,1,DISC,5011,1002,98121,S,27-09-2013 00:00,12616,4,0,0,0,0,0,0,0,0,1,104.9,5,1,104.9,1,USD,28-09-2013 00:00,27-09-2013 00:00,104.9,104.9,1
58477164,0,1,AMEX,1,3862,41467,R,02-10-2022 00:00,39674,9,0,0,0,0,0,0,0,0,1,427.54,5,1,427.54,1,USD,03-10-2022 00:00,02-10-2022 00:00,427.54,427.54,1
58477165,0,1,CHECK,9588,3710,65872,S,14-10-2024 00:00,98408,6,0,0,0,0,0,0,0,0,1,406.4,5,1,406.4,1,USD,15-10-2024 00:00,14-10-2024 00:00,406.4,406.4,1
58477166,0,1,CHECK,1,2507,27073,R,10-10-2024 00:00,13793,9,0,0,0,0,0,0,0,0,1,212.96,5,1,212.96,1,USD,11-10-2024 00:00,10-10-2024 00:00,212.96,212.96,1
58477167,0,1,CHECK,1,3993,95420,S,04-09-2015 00:00,28065,8,0,0,0,0,0,0,0,0,1,214.95,2,1,214.95,1,USD,05-09-2015 00:00,04-09-2015 00:00,214.95,214.95,1
58477168,0,1,DISC,5011,3061,42816,S,19-12-2015 00:00,96653,9,0,0,0,0,0,0,0,0,1,173.26,3,1,173.26,1,USD,20-12-2015 00:00,19-12-2015 00:00,173.26,173.26,1
58477169,0,1,CHECK,5011,2522,99058,S,18-05-2018 00:00,76852,5,0,0,0,0,0,0,0,0,1,52.75,2,1,52.75,1,USD,19-05-2018 00:00,18-05-2018 00:00,52.75,52.75,1
58477170,0,1,VISA,1,3682,72690,S,02-09-2015 00:00,66109,8,0,0,0,0,0,0,0,0,1,118.12,2,1,118.12,1,USD,03-09-2015 00:00,02-09-2015 00:00,118.12,118.12,1
58477171,0,1,CASH,9451,1416,71022,S,02-03-2024 00:00,86986,5,0,0,0,0,0,0,0,0,1,274.92,2,1,274.92,1,USD,03-03-2024 00:00,02-03-2024 00:00,274.92,274.92,1
58477172,0,1,CHECK,9451,1711,30740,S,19-06-2015 00:00,49214,2,0,0,0,0,0,0,0,0,1,440.41,3,1,440.41,1,USD,20-06-2015 00:00,19-06-2015 00:00,440.41,440.41,1
58477173,0,1,GIFT,5011,251,25268,S,22-07-2019 00:00,88677,1,0,0,0,0,0,0,0,0,1,159.01,2,1,159.01,1,USD,23-07-2019 00:00,22-07-2019 00:00,159.01,159.01,1
58477174,0,1,DISC,9422,4643,78690,S,28-08-2025 00:00,51281,6,0,0,0,0,0,0,0,0,1,412.53,1,1,412.53,1,USD,29-08-2025 00:00,28-08-2025 00:00,412.53,412.53,1
58477175,0,1,DISC,9851,4962,53206,S,11-12-2019 00:00,77133,7,0,0,0,0,0,0,0,0,1,155.98,3,1,155.98,1,USD,12-12-2019 00:00,11-12-2019 00:00,155.98,155.98,1
58477176,0,1,GIFT,9851,4617,47382,S,24-12-2022 00:00,38764,5,0,0,0,0,0,0,0,0,1,126.6,1,1,126.6,1,USD,25-12-2022 00:00,24-12-2022 00:00,126.6,126.6,1
58477177,0,1,CHECK,9588,428,61572,R,13-04-2019 00:00,19622,8,0,0,0,0,0,0,0,0,1,371.57,5,1,371.57,1,USD,14-04-2019 00:00,13-04-2019 00:00,371.57,371.57,1
58477178,0,1,DISC,9588,3753,69649,S,04-01-2024 00:00,69094,4,0,0,0,0,0,0,0,0,1,253.51,5,1,253.51,1,USD,05-01-2024 00:00,04-01-2024 00:00,253.51,253.51,1
58477179,0,1,CHECK,9451,1491,22616,S,22-04-2025 00:00,33014,3,0,0,0,0,0,0,0,0,1,262.63,1,1,262.63,1,USD,23-04-2025 00:00,22-04-2025 00:00,262.63,262.63,1
58477180,0,1,DISC,9330,1253,36326,S,28-12-2013 00:00,95093,10,0,0,0,0,0,0,0,0,1,122.23,2,1,122.23,1,USD,29-12-2013 00:00,28-12-2013 00:00,122.23,122.23,1
58477181,0,1,VISA,9851,1862,59154,S,21-06-2017 00:00,98310,6,0,0,0,0,0,0,0,0,1,237.23,5,1,237.23,1,USD,22-06-2017 00:00,21-06-2017 00:00,237.23,237.23,1
58477182,0,1,CASH,9330,3093,72497,S,25-02-2015 00:00,89412,7,0,0,0,0,0,0,0,0,1,397.52,2,1,397.52,1,USD,26-02-2015 00:00,25-02-2015 00:00,397.52,397.52,1
58477183,0,1,MAST,9588,1831,18319,R,10-04-2012 00:00,33059,8,0,0,0,0,0,0,0,0,1,76.3,5,1,76.3,1,USD,11-04-2012 00:00,10-04-2012 00:00,76.3,76.3,1
58477184,0,1,VISA,9330,357,73003,S,23-04-2016 00:00,77949,4,0,0,0,0,0,0,0,0,1,76.31,3,1,76.31,1,USD,24-04-2016 00:00,23-04-2016 00:00,76.31,76.31,1
58477185,0,1,AMEX,2,3077,36648,S,03-11-2019 00:00,71192,8,0,0,0,0,0,0,0,0,1,113.24,1,1,113.24,1,USD,04-11-2019 00:00,03-11-2019 00:00,113.24,113.24,1
58477186,0,1,CHECK,2,2459,32617,S,15-08-2016 00:00,41376,1,0,0,0,0,0,0,0,0,1,327.8,5,1,327.8,1,USD,16-08-2016 00:00,15-08-2016 00:00,327.8,327.8,1
58477187,0,1,MAST,5011,3826,90849,S,01-12-2021 00:00,61202,8,0,0,0,0,0,0,0,0,1,376.47,1,1,376.47,1,USD,02-12-2021 00:00,01-12-2021 00:00,376.47,376.47,1
