orderid,taxcode,chargetotal,istaxincluded,isoverridden,originalchargeamount,isinformational,isprorated,fulfillmentgroupid,isorderdiscount,isreturncharge,isproratedatsamelevel,chargetypeid,chargedisplayname
122000051,Shipping,12.99,False,False,12.99,False,True,FG6490,False,False,False,Shipping,Shipping
122000052,Shipping,0.0,False,False,0.0,False,True,FG1592,False,False,False,Shipping,Shipping
122000053,Shipping,0.0,False,False,0.0,False,True,FG5641,False,False,False,Shipping,Shipping
122000054,Shipping,7.99,False,False,7.99,False,True,FG2335,False,False,False,Shipping,Shipping
122000055,Shipping,7.99,False,False,7.99,False,True,FG9026,False,False,False,Shipping,Shipping
122000056,Shipping,7.99,False,False,7.99,False,True,FG7195,False,False,False,Shipping,Shipping
122000057,Shipping,10.0,False,False,10.0,False,True,FG6302,False,False,False,Shipping,Shipping
122000058,Shipping,10.0,False,False,10.0,False,True,FG5536,False,False,False,Shipping,Shipping
122000059,Shipping,0.0,False,False,0.0,False,True,FG6663,False,False,False,Shipping,Shipping
122000060,Shipping,5.99,False,False,5.99,False,True,FG2384,False,False,False,Shipping,Shipping
122000061,Shipping,10.0,False,False,10.0,False,True,FG4119,False,False,False,Shipping,Shipping
122000062,Shipping,0.0,False,False,0.0,False,True,FG5020,False,False,False,Shipping,Shipping
122000063,Shipping,0.0,False,False,0.0,False,True,FG9270,False,False,False,Shipping,Shipping
122000064,Shipping,12.99,False,False,12.99,False,True,FG5401,False,False,False,Shipping,Shipping
122000065,Shipping,0.0,False,False,0.0,False,True,FG8472,False,False,False,Shipping,Shipping
122000066,Shipping,10.0,False,False,10.0,False,True,FG4260,False,False,False,Shipping,Shipping
122000067,Shipping,0.0,False,False,0.0,False,True,FG8175,False,False,False,Shipping,Shipping
122000068,Shipping,0.0,False,False,0.0,False,True,FG7591,False,False,False,Shipping,Shipping
122000069,Shipping,7.99,False,False,7.99,False,True,FG2996,False,False,False,Shipping,Shipping
122000070,Shipping,0.0,False,False,0.0,False,True,FG6589,False,False,False,Shipping,Shipping
122000071,Shipping,5.99,False,False,5.99,False,True,FG1094,False,False,False,Shipping,Shipping
122000072,Shipping,0.0,False,False,0.0,False,True,FG4743,False,False,False,Shipping,Shipping
122000073,Shipping,0.0,False,False,0.0,False,True,FG4524,False,False,False,Shipping,Shipping
122000074,Shipping,12.99,False,False,12.99,False,True,FG9809,False,False,False,Shipping,Shipping
122000075,Shipping,0.0,False,False,0.0,False,True,FG5972,False,False,False,Shipping,Shipping
122000076,Shipping,10.0,False,False,10.0,False,True,FG6904,False,False,False,Shipping,Shipping
122000077,Shipping,5.99,False,False,5.99,False,True,FG8710,False,False,False,Shipping,Shipping
122000078,Shipping,0.0,False,False,0.0,False,True,FG2414,False,False,False,Shipping,Shipping
122000079,Shipping,0.0,False,False,0.0,False,True,FG9857,False,False,False,Shipping,Shipping
122000080,Shipping,5.99,False,False,5.99,False,True,FG8203,False,False,False,Shipping,Shipping
122000081,Shipping,10.0,False,False,10.0,False,True,FG8842,False,False,False,Shipping,Shipping
122000082,Shipping,7.99,False,False,7.99,False,True,FG6489,False,False,False,Shipping,Shipping
122000083,Shipping,10.0,False,False,10.0,False,True,FG2448,False,False,False,Shipping,Shipping
122000084,Shipping,0.0,False,False,0.0,False,True,FG2925,False,False,False,Shipping,Shipping
122000085,Shipping,0.0,False,False,0.0,False,True,FG4604,False,False,False,Shipping,Shipping
122000086,Shipping,7.99,False,False,7.99,False,True,FG6100,False,False,False,Shipping,Shipping
122000087,Shipping,0.0,False,False,0.0,False,True,FG8658,False,False,False,Shipping,Shipping
122000088,Shipping,7.99,False,False,7.99,False,True,FG2528,False,False,False,Shipping,Shipping
122000089,Shipping,5.99,False,False,5.99,False,True,FG5253,False,False,False,Shipping,Shipping
122000090,Shipping,0.0,False,False,0.0,False,True,FG2058,False,False,False,Shipping,Shipping
122000091,Shipping,12.99,False,False,12.99,False,True,FG1480,False,False,False,Shipping,Shipping
122000092,Shipping,5.99,False,False,5.99,False,True,FG3523,False,False,False,Shipping,Shipping
122000093,Shipping,7.99,False,False,7.99,False,True,FG8428,False,False,False,Shipping,Shipping
122000094,Shipping,12.99,False,False,12.99,False,True,FG8792,False,False,False,Shipping,Shipping
122000095,Shipping,12.99,False,False,12.99,False,True,FG3566,False,False,False,Shipping,Shipping
122000096,Shipping,10.0,False,False,10.0,False,True,FG2280,False,False,False,Shipping,Shipping
122000097,Shipping,12.99,False,False,12.99,False,True,FG4011,False,False,False,Shipping,Shipping
122000098,Shipping,7.99,False,False,7.99,False,True,FG4523,False,False,False,Shipping,Shipping
122000099,Shipping,12.99,False,False,12.99,False,True,FG7830,False,False,False,Shipping,Shipping
122000100,Shipping,12.99,False,False,12.99,False,True,FG3848,False,False,False,Shipping,Shipping
122000101,Shipping,0.0,False,False,0.0,False,True,FG6475,False,False,False,Shipping,Shipping
122000102,Shipping,0.0,False,False,0.0,False,True,FG8571,False,False,False,Shipping,Shipping
122000103,Shipping,7.99,False,False,7.99,False,True,FG8708,False,False,False,Shipping,Shipping
122000104,Shipping,12.99,False,False,12.99,False,True,FG5596,False,False,False,Shipping,Shipping
122000105,Shipping,0.0,False,False,0.0,False,True,FG3541,False,False,False,Shipping,Shipping
122000106,Shipping,12.99,False,False,12.99,False,True,FG4486,False,False,False,Shipping,Shipping
122000107,Shipping,10.0,False,False,10.0,False,True,FG8676,False,False,False,Shipping,Shipping
122000108,Shipping,10.0,False,False,10.0,False,True,FG4867,False,False,False,Shipping,Shipping
122000109,Shipping,0.0,False,False,0.0,False,True,FG9394,False,False,False,Shipping,Shipping
122000110,Shipping,7.99,False,False,7.99,False,True,FG7833,False,False,False,Shipping,Shipping
122000111,Shipping,0.0,False,False,0.0,False,True,FG1913,False,False,False,Shipping,Shipping
122000112,Shipping,10.0,False,False,10.0,False,True,FG3926,False,False,False,Shipping,Shipping
122000113,Shipping,7.99,False,False,7.99,False,True,FG6332,False,False,False,Shipping,Shipping
122000114,Shipping,5.99,False,False,5.99,False,True,FG5500,False,False,False,Shipping,Shipping
122000115,Shipping,7.99,False,False,7.99,False,True,FG8950,False,False,False,Shipping,Shipping
122000116,Shipping,0.0,False,False,0.0,False,True,FG7668,False,False,False,Shipping,Shipping
122000117,Shipping,12.99,False,False,12.99,False,True,FG8201,False,False,False,Shipping,Shipping
122000118,Shipping,7.99,False,False,7.99,False,True,FG1657,False,False,False,Shipping,Shipping
122000119,Shipping,12.99,False,False,12.99,False,True,FG6377,False,False,False,Shipping,Shipping
122000120,Shipping,7.99,False,False,7.99,False,True,FG1522,False,False,False,Shipping,Shipping
122000121,Shipping,7.99,False,False,7.99,False,True,FG5171,False,False,False,Shipping,Shipping
122000122,Shipping,7.99,False,False,7.99,False,True,FG1070,False,False,False,Shipping,Shipping
122000123,Shipping,7.99,False,False,7.99,False,True,FG8738,False,False,False,Shipping,Shipping
122000124,Shipping,0.0,False,False,0.0,False,True,FG6757,False,False,False,Shipping,Shipping
122000125,Shipping,5.99,False,False,5.99,False,True,FG6940,False,False,False,Shipping,Shipping
122000126,Shipping,0.0,False,False,0.0,False,True,FG5575,False,False,False,Shipping,Shipping
122000127,Shipping,0.0,False,False,0.0,False,True,FG9389,False,False,False,Shipping,Shipping
122000128,Shipping,10.0,False,False,10.0,False,True,FG1277,False,False,False,Shipping,Shipping
122000129,Shipping,7.99,False,False,7.99,False,True,FG7094,False,False,False,Shipping,Shipping
122000130,Shipping,10.0,False,False,10.0,False,True,FG5723,False,False,False,Shipping,Shipping
122000131,Shipping,0.0,False,False,0.0,False,True,FG9832,False,False,False,Shipping,Shipping
122000132,Shipping,0.0,False,False,0.0,False,True,FG8183,False,False,False,Shipping,Shipping
122000133,Shipping,5.99,False,False,5.99,False,True,FG4512,False,False,False,Shipping,Shipping
122000134,Shipping,12.99,False,False,12.99,False,True,FG5106,False,False,False,Shipping,Shipping
122000135,Shipping,0.0,False,False,0.0,False,True,FG5008,False,False,False,Shipping,Shipping
122000136,Shipping,12.99,False,False,12.99,False,True,FG6037,False,False,False,Shipping,Shipping
122000137,Shipping,5.99,False,False,5.99,False,True,FG6998,False,False,False,Shipping,Shipping
122000138,Shipping,0.0,False,False,0.0,False,True,FG3422,False,False,False,Shipping,Shipping
122000139,Shipping,5.99,False,False,5.99,False,True,FG3885,False,False,False,Shipping,Shipping
122000140,Shipping,10.0,False,False,10.0,False,True,FG8820,False,False,False,Shipping,Shipping
122000141,Shipping,0.0,False,False,0.0,False,True,FG7247,False,False,False,Shipping,Shipping
122000142,Shipping,0.0,False,False,0.0,False,True,FG6877,False,False,False,Shipping,Shipping
122000143,Shipping,0.0,False,False,0.0,False,True,FG9928,False,False,False,Shipping,Shipping
122000144,Shipping,10.0,False,False,10.0,False,True,FG3129,False,False,False,Shipping,Shipping
122000145,Shipping,5.99,False,False,5.99,False,True,FG2136,False,False,False,Shipping,Shipping
122000146,Shipping,10.0,False,False,10.0,False,True,FG2968,False,False,False,Shipping,Shipping
122000147,Shipping,0.0,False,False,0.0,False,True,FG1739,False,False,False,Shipping,Shipping
122000148,Shipping,7.99,False,False,7.99,False,True,FG2189,False,False,False,Shipping,Shipping
122000149,Shipping,12.99,False,False,12.99,False,True,FG8572,False,False,False,Shipping,Shipping
122000150,Shipping,0.0,False,False,0.0,False,True,FG4655,False,False,False,Shipping,Shipping
122000151,Shipping,7.99,False,False,7.99,False,True,FG6679,False,False,False,Shipping,Shipping
122000152,Shipping,0.0,False,False,0.0,False,True,FG5853,False,False,False,Shipping,Shipping
122000153,Shipping,0.0,False,False,0.0,False,True,FG3364,False,False,False,Shipping,Shipping
122000154,Shipping,7.99,False,False,7.99,False,True,FG5958,False,False,False,Shipping,Shipping
122000155,Shipping,0.0,False,False,0.0,False,True,FG2125,False,False,False,Shipping,Shipping
122000156,Shipping,7.99,False,False,7.99,False,True,FG6963,False,False,False,Shipping,Shipping
122000157,Shipping,12.99,False,False,12.99,False,True,FG6632,False,False,False,Shipping,Shipping
122000158,Shipping,0.0,False,False,0.0,False,True,FG6577,False,False,False,Shipping,Shipping
122000159,Shipping,0.0,False,False,0.0,False,True,FG3784,False,False,False,Shipping,Shipping
122000160,Shipping,0.0,False,False,0.0,False,True,FG9316,False,False,False,Shipping,Shipping
122000161,Shipping,0.0,False,False,0.0,False,True,FG9376,False,False,False,Shipping,Shipping
122000162,Shipping,0.0,False,False,0.0,False,True,FG1304,False,False,False,Shipping,Shipping
122000163,Shipping,0.0,False,False,0.0,False,True,FG4161,False,False,False,Shipping,Shipping
122000164,Shipping,12.99,False,False,12.99,False,True,FG7271,False,False,False,Shipping,Shipping
122000165,Shipping,10.0,False,False,10.0,False,True,FG3434,False,False,False,Shipping,Shipping
122000166,Shipping,10.0,False,False,10.0,False,True,FG9748,False,False,False,Shipping,Shipping
122000167,Shipping,7.99,False,False,7.99,False,True,FG6754,False,False,False,Shipping,Shipping
122000168,Shipping,0.0,False,False,0.0,False,True,FG4967,False,False,False,Shipping,Shipping
122000169,Shipping,12.99,False,False,12.99,False,True,FG6077,False,False,False,Shipping,Shipping
122000170,Shipping,0.0,False,False,0.0,False,True,FG7532,False,False,False,Shipping,Shipping
122000171,Shipping,5.99,False,False,5.99,False,True,FG1980,False,False,False,Shipping,Shipping
122000172,Shipping,0.0,False,False,0.0,False,True,FG8833,False,False,False,Shipping,Shipping
122000173,Shipping,7.99,False,False,7.99,False,True,FG2656,False,False,False,Shipping,Shipping
122000174,Shipping,7.99,False,False,7.99,False,True,FG8163,False,False,False,Shipping,Shipping
122000175,Shipping,10.0,False,False,10.0,False,True,FG8875,False,False,False,Shipping,Shipping
122000176,Shipping,0.0,False,False,0.0,False,True,FG4185,False,False,False,Shipping,Shipping
122000177,Shipping,10.0,False,False,10.0,False,True,FG6845,False,False,False,Shipping,Shipping
122000178,Shipping,7.99,False,False,7.99,False,True,FG2221,False,False,False,Shipping,Shipping
122000179,Shipping,0.0,False,False,0.0,False,True,FG3673,False,False,False,Shipping,Shipping
122000180,Shipping,12.99,False,False,12.99,False,True,FG6690,False,False,False,Shipping,Shipping
122000181,Shipping,0.0,False,False,0.0,False,True,FG3038,False,False,False,Shipping,Shipping
122000182,Shipping,5.99,False,False,5.99,False,True,FG2064,False,False,False,Shipping,Shipping
122000183,Shipping,0.0,False,False,0.0,False,True,FG9650,False,False,False,Shipping,Shipping
122000184,Shipping,10.0,False,False,10.0,False,True,FG9653,False,False,False,Shipping,Shipping
122000185,Shipping,0.0,False,False,0.0,False,True,FG7175,False,False,False,Shipping,Shipping
122000186,Shipping,12.99,False,False,12.99,False,True,FG3647,False,False,False,Shipping,Shipping
122000187,Shipping,12.99,False,False,12.99,False,True,FG2266,False,False,False,Shipping,Shipping
122000188,Shipping,10.0,False,False,10.0,False,True,FG8735,False,False,False,Shipping,Shipping
122000189,Shipping,0.0,False,False,0.0,False,True,FG9677,False,False,False,Shipping,Shipping
122000190,Shipping,10.0,False,False,10.0,False,True,FG5078,False,False,False,Shipping,Shipping
122000191,Shipping,12.99,False,False,12.99,False,True,FG9425,False,False,False,Shipping,Shipping
122000192,Shipping,0.0,False,False,0.0,False,True,FG9590,False,False,False,Shipping,Shipping
122000193,Shipping,12.99,False,False,12.99,False,True,FG3420,False,False,False,Shipping,Shipping
122000194,Shipping,10.0,False,False,10.0,False,True,FG9908,False,False,False,Shipping,Shipping
122000195,Shipping,0.0,False,False,0.0,False,True,FG8420,False,False,False,Shipping,Shipping
122000196,Shipping,5.99,False,False,5.99,False,True,FG4773,False,False,False,Shipping,Shipping
122000197,Shipping,0.0,False,False,0.0,False,True,FG4134,False,False,False,Shipping,Shipping
122000198,Shipping,12.99,False,False,12.99,False,True,FG4179,False,False,False,Shipping,Shipping
122000199,Shipping,12.99,False,False,12.99,False,True,FG1040,False,False,False,Shipping,Shipping
122000200,Shipping,7.99,False,False,7.99,False,True,FG1200,False,False,False,Shipping,Shipping
122000201,Shipping,0.0,False,False,0.0,False,True,FG6614,False,False,False,Shipping,Shipping
122000202,Shipping,0.0,False,False,0.0,False,True,FG1719,False,False,False,Shipping,Shipping
122000203,Shipping,5.99,False,False,5.99,False,True,FG8691,False,False,False,Shipping,Shipping
122000204,Shipping,7.99,False,False,7.99,False,True,FG8666,False,False,False,Shipping,Shipping
122000205,Shipping,0.0,False,False,0.0,False,True,FG3007,False,False,False,Shipping,Shipping
122000206,Shipping,7.99,False,False,7.99,False,True,FG5014,False,False,False,Shipping,Shipping
122000207,Shipping,12.99,False,False,12.99,False,True,FG2404,False,False,False,Shipping,Shipping
122000208,Shipping,0.0,False,False,0.0,False,True,FG3394,False,False,False,Shipping,Shipping
122000209,Shipping,10.0,False,False,10.0,False,True,FG6885,False,False,False,Shipping,Shipping
122000210,Shipping,7.99,False,False,7.99,False,True,FG4231,False,False,False,Shipping,Shipping
122000211,Shipping,12.99,False,False,12.99,False,True,FG9579,False,False,False,Shipping,Shipping
122000212,Shipping,7.99,False,False,7.99,False,True,FG5634,False,False,False,Shipping,Shipping
122000213,Shipping,0.0,False,False,0.0,False,True,FG2592,False,False,False,Shipping,Shipping
122000214,Shipping,12.99,False,False,12.99,False,True,FG5152,False,False,False,Shipping,Shipping
122000215,Shipping,10.0,False,False,10.0,False,True,FG1051,False,False,False,Shipping,Shipping
122000216,Shipping,12.99,False,False,12.99,False,True,FG4355,False,False,False,Shipping,Shipping
122000217,Shipping,7.99,False,False,7.99,False,True,FG4977,False,False,False,Shipping,Shipping
122000218,Shipping,0.0,False,False,0.0,False,True,FG9176,False,False,False,Shipping,Shipping
122000219,Shipping,10.0,False,False,10.0,False,True,FG3459,False,False,False,Shipping,Shipping
122000220,Shipping,0.0,False,False,0.0,False,True,FG2781,False,False,False,Shipping,Shipping
122000221,Shipping,0.0,False,False,0.0,False,True,FG4021,False,False,False,Shipping,Shipping
122000222,Shipping,12.99,False,False,12.99,False,True,FG9254,False,False,False,Shipping,Shipping
122000223,Shipping,12.99,False,False,12.99,False,True,FG7329,False,False,False,Shipping,Shipping
122000224,Shipping,12.99,False,False,12.99,False,True,FG4667,False,False,False,Shipping,Shipping
122000225,Shipping,10.0,False,False,10.0,False,True,FG3264,False,False,False,Shipping,Shipping
122000226,Shipping,7.99,False,False,7.99,False,True,FG9842,False,False,False,Shipping,Shipping
122000227,Shipping,0.0,False,False,0.0,False,True,FG6330,False,False,False,Shipping,Shipping
122000228,Shipping,0.0,False,False,0.0,False,True,FG6126,False,False,False,Shipping,Shipping
122000229,Shipping,7.99,False,False,7.99,False,True,FG8275,False,False,False,Shipping,Shipping
122000230,Shipping,10.0,False,False,10.0,False,True,FG3701,False,False,False,Shipping,Shipping
122000231,Shipping,12.99,False,False,12.99,False,True,FG6941,False,False,False,Shipping,Shipping
122000232,Shipping,7.99,False,False,7.99,False,True,FG9928,False,False,False,Shipping,Shipping
122000233,Shipping,12.99,False,False,12.99,False,True,FG8692,False,False,False,Shipping,Shipping
122000234,Shipping,5.99,False,False,5.99,False,True,FG2236,False,False,False,Shipping,Shipping
122000235,Shipping,5.99,False,False,5.99,False,True,FG5036,False,False,False,Shipping,Shipping
122000236,Shipping,10.0,False,False,10.0,False,True,FG1142,False,False,False,Shipping,Shipping
122000237,Shipping,5.99,False,False,5.99,False,True,FG3555,False,False,False,Shipping,Shipping
122000238,Shipping,0.0,False,False,0.0,False,True,FG7207,False,False,False,Shipping,Shipping
122000239,Shipping,0.0,False,False,0.0,False,True,FG2663,False,False,False,Shipping,Shipping
122000240,Shipping,0.0,False,False,0.0,False,True,FG7670,False,False,False,Shipping,Shipping
122000241,Shipping,12.99,False,False,12.99,False,True,FG5551,False,False,False,Shipping,Shipping
122000242,Shipping,12.99,False,False,12.99,False,True,FG4448,False,False,False,Shipping,Shipping
122000243,Shipping,5.99,False,False,5.99,False,True,FG6074,False,False,False,Shipping,Shipping
122000244,Shipping,7.99,False,False,7.99,False,True,FG4145,False,False,False,Shipping,Shipping
122000245,Shipping,7.99,False,False,7.99,False,True,FG4663,False,False,False,Shipping,Shipping
122000246,Shipping,12.99,False,False,12.99,False,True,FG7590,False,False,False,Shipping,Shipping
122000247,Shipping,12.99,False,False,12.99,False,True,FG2258,False,False,False,Shipping,Shipping
122000248,Shipping,10.0,False,False,10.0,False,True,FG8337,False,False,False,Shipping,Shipping
122000249,Shipping,10.0,False,False,10.0,False,True,FG1896,False,False,False,Shipping,Shipping
122000250,Shipping,10.0,False,False,10.0,False,True,FG4526,False,False,False,Shipping,Shipping
122000251,Shipping,12.99,False,False,12.99,False,True,FG8190,False,False,False,Shipping,Shipping
122000252,Shipping,0.0,False,False,0.0,False,True,FG2084,False,False,False,Shipping,Shipping
122000253,Shipping,12.99,False,False,12.99,False,True,FG7853,False,False,False,Shipping,Shipping
122000254,Shipping,0.0,False,False,0.0,False,True,FG9457,False,False,False,Shipping,Shipping
122000255,Shipping,5.99,False,False,5.99,False,True,FG1653,False,False,False,Shipping,Shipping
122000256,Shipping,0.0,False,False,0.0,False,True,FG5185,False,False,False,Shipping,Shipping
122000257,Shipping,5.99,False,False,5.99,False,True,FG9694,False,False,False,Shipping,Shipping
122000258,Shipping,10.0,False,False,10.0,False,True,FG7780,False,False,False,Shipping,Shipping
122000259,Shipping,5.99,False,False,5.99,False,True,FG7685,False,False,False,Shipping,Shipping
122000260,Shipping,5.99,False,False,5.99,False,True,FG5905,False,False,False,Shipping,Shipping
122000261,Shipping,5.99,False,False,5.99,False,True,FG6585,False,False,False,Shipping,Shipping
122000262,Shipping,10.0,False,False,10.0,False,True,FG4152,False,False,False,Shipping,Shipping
122000263,Shipping,5.99,False,False,5.99,False,True,FG1357,False,False,False,Shipping,Shipping
122000264,Shipping,5.99,False,False,5.99,False,True,FG8525,False,False,False,Shipping,Shipping
122000265,Shipping,7.99,False,False,7.99,False,True,FG1362,False,False,False,Shipping,Shipping
122000266,Shipping,0.0,False,False,0.0,False,True,FG2004,False,False,False,Shipping,Shipping
122000267,Shipping,10.0,False,False,10.0,False,True,FG3383,False,False,False,Shipping,Shipping
122000268,Shipping,0.0,False,False,0.0,False,True,FG4293,False,False,False,Shipping,Shipping
122000269,Shipping,5.99,False,False,5.99,False,True,FG7771,False,False,False,Shipping,Shipping
122000270,Shipping,10.0,False,False,10.0,False,True,FG5443,False,False,False,Shipping,Shipping
122000271,Shipping,0.0,False,False,0.0,False,True,FG8362,False,False,False,Shipping,Shipping
122000272,Shipping,0.0,False,False,0.0,False,True,FG1489,False,False,False,Shipping,Shipping
122000273,Shipping,7.99,False,False,7.99,False,True,FG6260,False,False,False,Shipping,Shipping
122000274,Shipping,7.99,False,False,7.99,False,True,FG1004,False,False,False,Shipping,Shipping
122000275,Shipping,0.0,False,False,0.0,False,True,FG2315,False,False,False,Shipping,Shipping
122000276,Shipping,0.0,False,False,0.0,False,True,FG2815,False,False,False,Shipping,Shipping
122000277,Shipping,7.99,False,False,7.99,False,True,FG6255,False,False,False,Shipping,Shipping
122000278,Shipping,12.99,False,False,12.99,False,True,FG5308,False,False,False,Shipping,Shipping
122000279,Shipping,12.99,False,False,12.99,False,True,FG1663,False,False,False,Shipping,Shipping
122000280,Shipping,12.99,False,False,12.99,False,True,FG8536,False,False,False,Shipping,Shipping
122000281,Shipping,5.99,False,False,5.99,False,True,FG6729,False,False,False,Shipping,Shipping
122000282,Shipping,7.99,False,False,7.99,False,True,FG4918,False,False,False,Shipping,Shipping
122000283,Shipping,12.99,False,False,12.99,False,True,FG9293,False,False,False,Shipping,Shipping
122000284,Shipping,0.0,False,False,0.0,False,True,FG8081,False,False,False,Shipping,Shipping
122000285,Shipping,0.0,False,False,0.0,False,True,FG8928,False,False,False,Shipping,Shipping
122000286,Shipping,12.99,False,False,12.99,False,True,FG7747,False,False,False,Shipping,Shipping
122000287,Shipping,12.99,False,False,12.99,False,True,FG4555,False,False,False,Shipping,Shipping
122000288,Shipping,0.0,False,False,0.0,False,True,FG6650,False,False,False,Shipping,Shipping
122000289,Shipping,7.99,False,False,7.99,False,True,FG7531,False,False,False,Shipping,Shipping
122000290,Shipping,0.0,False,False,0.0,False,True,FG9253,False,False,False,Shipping,Shipping
122000291,Shipping,10.0,False,False,10.0,False,True,FG5139,False,False,False,Shipping,Shipping
122000292,Shipping,7.99,False,False,7.99,False,True,FG9863,False,False,False,Shipping,Shipping
122000293,Shipping,0.0,False,False,0.0,False,True,FG3442,False,False,False,Shipping,Shipping
122000294,Shipping,12.99,False,False,12.99,False,True,FG1227,False,False,False,Shipping,Shipping
122000295,Shipping,7.99,False,False,7.99,False,True,FG8139,False,False,False,Shipping,Shipping
122000296,Shipping,7.99,False,False,7.99,False,True,FG6579,False,False,False,Shipping,Shipping
122000297,Shipping,10.0,False,False,10.0,False,True,FG6022,False,False,False,Shipping,Shipping
122000298,Shipping,5.99,False,False,5.99,False,True,FG7508,False,False,False,Shipping,Shipping
122000299,Shipping,0.0,False,False,0.0,False,True,FG3021,False,False,False,Shipping,Shipping
