inc_id,scan_id,producttype,details,chest,height,inseamleft,inseamright,neck,outseamleft,outseamright,overarmcircumference,seatmeasurement,shirtwaist,sleeveleft,sleeveright,trouserwaist,load_filename,process_date,load_timestamp,version,brand,year,month,thighleft,wristleft,shoulderwidth,wristright,thighright,overarm,chestcb,bicepleft,hipscb,bicepright,waist,stomach
11,121ab81f-fd63-4a77-91e5-1d85d209a16b,Shorts,"Waist: 54 , Inseam: 30",57.27,74.86,30.06,29.66,18.81,43.32,41.86,53.39,51.88,49.02,34.69,35.16,54.41,scanId-121ab81f-fd63-4a77-91e5-1d85d209a16b-dxl-custom-measures-version-1.5.2_10_10_2024.json,11-10-2024,19:19.2,1.5.2,Tommy Hilfiger,2024,10,24.78,8.27,19.62,6.61,28.36,58.62,43.46,16.59,46.9,13.56,53.25,54.6
12,3dceca98-bea5-4a29-bb6d-f66183d96878,Denim,"Waist: 42 , Inseam: 33",55.95,79.66,33.4,32.89,16.21,43.27,39.59,52.16,55.53,54.79,34.58,34.92,42.73,scanId-3dceca98-bea5-4a29-bb6d-f66183d96878-dxl-custom-measures-version-1.5.2_12_10_2025.json,13-10-2025,26:10.7,1.5.2,7 for All Man Kind,2025,10,24.67,7.47,18.1,7.98,26.86,56.6,50.59,16.67,47.09,15.06,42.42,52.4
13,3dceca98-bea5-4a29-bb6d-f66183d96878,Casual Pants,"Waist: 48 , Inseam: 34",58.19,78.17,34.39,34.21,18.97,38.28,44.55,55.5,53.62,57.97,34.82,35.15,48.62,scanId-3dceca98-bea5-4a29-bb6d-f66183d96878-dxl-custom-measures-version-1.5.2_12_10_2025.json,13-10-2025,26:10.7,1.5.2,Brooks Brothers,2025,10,25.53,7.77,19.41,7.08,25.33,52.8,42.89,14.44,47.65,15.92,48.7,49.02
14,3dceca98-bea5-4a29-bb6d-f66183d96878,Dress Pants,"Waist: 54 , Inseam: 34",54.38,72.96,33.89,34.25,19.49,42.3,38.43,59.68,49.21,50.65,35.63,36.29,53.44,scanId-3dceca98-bea5-4a29-bb6d-f66183d96878-dxl-custom-measures-version-1.5.2_12_10_2025.json,13-10-2025,26:10.7,1.5.2,Brooks Brothers,2025,10,25.02,7.5,18.28,7.57,29.65,56.0,49.18,15.4,48.68,15.03,53.81,48.37
15,723ea268-e462-44c8-9a37-1c49e047bddd,Casual Pants,"Waist: 54 , Inseam: 36",48.48,68.61,36.01,35.71,17.37,40.65,43.85,57.64,55.38,50.62,36.02,34.3,54.8,scanId-723ea268-e462-44c8-9a37-1c49e047bddd-dxl-custom-measures-version-1.5.2_21_10_2024.json,22-10-2024,32:29.4,1.5.2,7 for All Man Kind,2024,10,29.7,8.48,21.5,8.05,27.4,55.38,43.6,16.29,53.41,13.98,53.09,53.57
16,723ea268-e462-44c8-9a37-1c49e047bddd,Dress Pants,"Waist: 38 , Inseam: 28",52.09,73.72,27.66,27.62,17.28,45.62,39.23,57.74,52.57,48.36,35.08,33.23,37.32,scanId-723ea268-e462-44c8-9a37-1c49e047bddd-dxl-custom-measures-version-1.5.2_21_10_2024.json,22-10-2024,32:29.4,1.5.2,7 for All Man Kind,2024,10,26.69,7.71,19.07,8.2,27.4,51.04,49.08,14.03,46.72,16.05,38.49,47.07
17,d203827c-fe04-40c6-91fe-e08a28592c32,Denim,"Waist: 56 , Inseam: 34",58.35,72.47,34.18,34.06,17.09,38.14,43.33,56.07,46.75,54.03,34.8,35.18,56.72,scanId-d203827c-fe04-40c6-91fe-e08a28592c32-dxl-custom-measures-version-1.5.2_18_01_2024.json,19-01-2024,43:26.2,1.5.2,Tommy Hilfiger,2024,1,25.68,7.83,20.67,7.21,29.2,53.81,48.44,14.02,51.49,15.13,56.58,51.67
18,d203827c-fe04-40c6-91fe-e08a28592c32,Shorts,"Waist: 44 , Inseam: 32",58.71,76.93,31.63,31.98,19.23,40.29,40.12,58.92,53.38,54.92,36.74,33.09,43.07,scanId-d203827c-fe04-40c6-91fe-e08a28592c32-dxl-custom-measures-version-1.5.2_18_01_2024.json,19-01-2024,43:26.2,1.5.2,Polo Ralph Lauren,2024,1,27.59,6.71,18.27,8.3,27.82,50.4,50.71,15.28,45.49,14.11,44.63,49.88
19,02568f50-f70e-404c-bad9-a5a9d118b369,Casual Pants,"Waist: 42 , Inseam: 34",53.24,70.06,34.36,33.87,18.62,41.15,45.57,52.56,50.08,56.55,34.44,36.82,41.68,scanId-02568f50-f70e-404c-bad9-a5a9d118b369-dxl-custom-measures-version-1.5.2_07_09_2024.json,08-09-2024,31:10.8,1.5.2,Polo Ralph Lauren,2024,9,29.86,7.7,21.66,7.94,27.09,53.51,48.35,14.64,48.23,14.1,41.43,54.05
20,02568f50-f70e-404c-bad9-a5a9d118b369,Dress Pants,"Waist: 50 , Inseam: 33",50.02,70.88,32.75,33.35,19.42,45.29,39.89,55.25,54.62,49.94,34.29,33.51,49.9,scanId-02568f50-f70e-404c-bad9-a5a9d118b369-dxl-custom-measures-version-1.5.2_07_09_2024.json,08-09-2024,31:10.8,1.5.2,Tommy Hilfiger,2024,9,27.51,7.15,20.21,8.08,29.85,54.28,47.54,16.33,51.54,16.27,49.09,52.72
21,d9aac055-59c2-4bda-bdb1-7b10d959cd5c,Casual Pants,"Waist: 54 , Inseam: 36",49.3,76.64,36.44,35.64,19.02,45.87,45.73,60.34,51.1,52.1,35.59,34.36,53.28,scanId-d9aac055-59c2-4bda-bdb1-7b10d959cd5c-dxl-custom-measures-version-1.5.2_23_08_2025.json,24-08-2025,32:40.4,1.5.2,Brooks Brothers,2025,8,29.46,6.93,21.28,7.06,25.55,56.09,42.79,13.75,45.8,16.39,53.74,48.24
22,d9aac055-59c2-4bda-bdb1-7b10d959cd5c,Denim,"Waist: 50 , Inseam: 33",50.09,72.83,32.85,32.51,19.0,45.75,44.36,53.57,48.14,55.2,35.79,35.18,50.05,scanId-d9aac055-59c2-4bda-bdb1-7b10d959cd5c-dxl-custom-measures-version-1.5.2_23_08_2025.json,24-08-2025,32:40.4,1.5.2,Brooks Brothers,2025,8,27.37,6.8,21.18,8.18,29.06,52.48,48.45,16.47,51.84,15.33,50.41,55.95
23,d9aac055-59c2-4bda-bdb1-7b10d959cd5c,Dress Pants,"Waist: 46 , Inseam: 34",59.3,77.95,33.74,33.56,19.75,45.29,44.03,60.45,53.39,56.64,34.95,35.12,45.6,scanId-d9aac055-59c2-4bda-bdb1-7b10d959cd5c-dxl-custom-measures-version-1.5.2_23_08_2025.json,24-08-2025,32:40.4,1.5.2,Brooks Brothers,2025,8,25.26,6.58,21.3,6.92,26.51,55.34,48.5,16.79,46.1,13.42,46.92,46.45
24,b1b929ca-e2ee-424f-8759-d3abc22a6728,Casual Pants,"Waist: 46 , Inseam: 28",56.77,73.76,28.24,28.05,16.7,38.08,39.14,60.95,47.38,56.72,35.13,36.08,46.84,scanId-b1b929ca-e2ee-424f-8759-d3abc22a6728-dxl-custom-measures-version-1.5.2_20_05_2024.json,21-05-2024,38:55.3,1.5.2,Polo Ralph Lauren,2024,5,25.91,8.43,19.08,8.32,27.69,52.36,46.0,15.42,46.21,15.6,46.72,46.23
25,b1b929ca-e2ee-424f-8759-d3abc22a6728,Shorts,"Waist: 38 , Inseam: 32",56.8,73.76,31.67,31.71,19.72,44.48,38.12,55.69,49.24,53.5,34.89,36.64,38.26,scanId-b1b929ca-e2ee-424f-8759-d3abc22a6728-dxl-custom-measures-version-1.5.2_20_05_2024.json,21-05-2024,38:55.3,1.5.2,7 for All Man Kind,2024,5,28.52,6.54,20.46,6.59,28.32,57.62,46.17,13.01,52.7,15.9,38.77,53.82
26,b1b929ca-e2ee-424f-8759-d3abc22a6728,Shorts,"Waist: 38 , Inseam: 36",57.27,71.1,36.37,36.0,19.5,42.08,42.76,61.54,55.56,55.49,36.28,36.72,37.02,scanId-b1b929ca-e2ee-424f-8759-d3abc22a6728-dxl-custom-measures-version-1.5.2_20_05_2024.json,21-05-2024,38:55.3,1.5.2,Calvin Klein,2024,5,25.29,6.82,19.71,7.46,27.62,53.75,48.12,15.95,50.5,13.01,37.73,54.76
27,d5b4e6f1-c7c6-4f8f-aec5-cdbd47bed0ce,Shorts,"Waist: 50 , Inseam: 32",51.57,69.52,32.08,32.43,18.67,44.15,43.0,54.75,53.12,52.8,33.94,33.67,49.37,scanId-d5b4e6f1-c7c6-4f8f-aec5-cdbd47bed0ce-dxl-custom-measures-version-1.5.2_20_10_2025.json,21-10-2025,57:50.4,1.5.2,Brooks Brothers,2025,10,26.87,7.83,21.47,8.31,25.9,58.3,50.61,16.01,52.58,15.52,49.91,53.49
28,d5b4e6f1-c7c6-4f8f-aec5-cdbd47bed0ce,Shorts,"Waist: 56 , Inseam: 34",51.26,72.06,33.59,34.04,18.54,38.29,40.37,58.69,47.98,56.76,33.79,35.41,55.5,scanId-d5b4e6f1-c7c6-4f8f-aec5-cdbd47bed0ce-dxl-custom-measures-version-1.5.2_20_10_2025.json,21-10-2025,57:50.4,1.5.2,Polo Ralph Lauren,2025,10,26.61,7.44,19.54,6.88,26.78,56.95,48.26,14.78,48.78,14.17,55.41,49.87
29,08f0b6a2-5b8b-4016-be98-71f63fedae19,Shorts,"Waist: 42 , Inseam: 33",57.14,68.71,33.37,32.51,16.27,43.88,42.36,56.68,53.27,51.9,33.34,34.07,41.03,scanId-08f0b6a2-5b8b-4016-be98-71f63fedae19-dxl-custom-measures-version-1.5.2_25_02_2025.json,26-02-2025,45:54.3,1.5.2,Calvin Klein,2025,2,28.27,8.03,21.94,7.77,28.38,51.31,50.01,14.88,46.67,14.26,42.02,47.03
30,08f0b6a2-5b8b-4016-be98-71f63fedae19,Dress Pants,"Waist: 42 , Inseam: 28",48.29,79.42,28.2,27.53,16.91,38.13,40.61,54.53,50.36,56.49,34.35,36.63,42.69,scanId-08f0b6a2-5b8b-4016-be98-71f63fedae19-dxl-custom-measures-version-1.5.2_25_02_2025.json,26-02-2025,45:54.3,1.5.2,Brooks Brothers,2025,2,29.53,7.88,19.75,8.11,28.42,59.28,51.74,14.7,52.21,14.05,42.57,52.21
31,b625b7bf-6e9e-4b81-8244-830ae6e527b1,Shorts,"Waist: 54 , Inseam: 34",52.08,78.08,34.46,34.03,16.29,38.0,41.42,53.75,50.95,50.11,34.75,36.62,53.51,scanId-b625b7bf-6e9e-4b81-8244-830ae6e527b1-dxl-custom-measures-version-1.5.2_02_07_2024.json,03-07-2024,18:12.2,1.5.2,Brooks Brothers,2024,7,26.75,6.65,19.28,7.82,27.71,56.16,48.63,16.18,45.73,13.94,54.61,48.59
32,b625b7bf-6e9e-4b81-8244-830ae6e527b1,Shorts,"Waist: 56 , Inseam: 28",51.2,76.56,27.55,27.64,19.05,41.06,45.45,56.18,54.46,54.91,36.81,34.62,56.93,scanId-b625b7bf-6e9e-4b81-8244-830ae6e527b1-dxl-custom-measures-version-1.5.2_02_07_2024.json,03-07-2024,18:12.2,1.5.2,7 for All Man Kind,2024,7,28.04,7.45,20.75,6.71,28.28,54.31,43.48,13.91,44.5,14.96,55.96,57.15
33,09bbc34f-a286-464a-b90a-f404f890fae2,Dress Pants,"Waist: 52 , Inseam: 33",51.67,77.18,32.75,33.06,19.93,40.17,40.42,55.41,49.72,52.28,34.84,33.86,51.01,scanId-09bbc34f-a286-464a-b90a-f404f890fae2-dxl-custom-measures-version-1.5.2_11_06_2024.json,12-06-2024,58:20.4,1.5.2,Polo Ralph Lauren,2024,6,25.87,8.2,18.54,7.75,25.77,57.41,47.14,15.87,47.45,13.95,52.07,55.78
34,246415c5-9742-48e9-b48c-aff68acdbab0,Shorts,"Waist: 54 , Inseam: 30",55.05,71.06,30.48,29.83,16.28,41.04,45.67,53.93,51.62,48.11,36.93,35.03,53.96,scanId-246415c5-9742-48e9-b48c-aff68acdbab0-dxl-custom-measures-version-1.5.2_22_07_2025.json,23-07-2025,49:38.5,1.5.2,7 for All Man Kind,2025,7,24.37,6.91,20.26,7.85,27.2,59.86,46.13,14.7,44.53,13.6,54.02,49.51
35,00102aa7-8a81-4aca-b9d8-372552fab2d1,Dress Pants,"Waist: 48 , Inseam: 34",50.52,78.19,33.85,33.9,19.65,43.78,41.69,57.88,49.22,56.18,33.25,33.92,48.61,scanId-00102aa7-8a81-4aca-b9d8-372552fab2d1-dxl-custom-measures-version-1.5.2_03_04_2024.json,04-04-2024,55:57.3,1.5.2,Calvin Klein,2024,4,29.25,7.05,20.91,7.32,28.43,56.94,47.75,14.61,53.7,14.77,48.77,53.71
36,00102aa7-8a81-4aca-b9d8-372552fab2d1,Denim,"Waist: 52 , Inseam: 30",57.72,79.3,29.85,29.9,19.55,38.21,44.62,52.29,51.83,54.73,34.73,36.99,52.06,scanId-00102aa7-8a81-4aca-b9d8-372552fab2d1-dxl-custom-measures-version-1.5.2_03_04_2024.json,04-04-2024,55:57.3,1.5.2,Tommy Hilfiger,2024,4,26.65,6.69,21.38,7.69,24.86,54.04,46.32,15.63,53.63,16.78,52.93,50.38
37,fe77fe8a-38e3-43e9-b10f-99f1949cd7b9,Shorts,"Waist: 40 , Inseam: 30",53.81,69.94,29.72,29.69,19.41,40.05,45.08,56.68,50.86,54.73,35.03,36.46,39.46,scanId-fe77fe8a-38e3-43e9-b10f-99f1949cd7b9-dxl-custom-measures-version-1.5.2_10_07_2025.json,11-07-2025,18:21.1,1.5.2,Calvin Klein,2025,7,29.06,7.76,21.84,8.44,28.3,52.69,46.23,13.62,47.18,13.45,40.1,55.21
38,21ff93c6-8fb0-4a64-9ba3-25d653b434a2,Casual Pants,"Waist: 54 , Inseam: 30",58.87,76.43,29.79,30.0,16.5,43.98,39.94,55.74,48.2,54.13,35.08,34.41,53.4,scanId-21ff93c6-8fb0-4a64-9ba3-25d653b434a2-dxl-custom-measures-version-1.5.2_14_03_2024.json,15-03-2024,59:52.1,1.5.2,Polo Ralph Lauren,2024,3,26.95,8.33,18.09,7.63,25.76,54.75,44.93,15.81,45.04,13.45,53.93,56.49
39,21ff93c6-8fb0-4a64-9ba3-25d653b434a2,Denim,"Waist: 42 , Inseam: 32",59.31,70.66,31.81,32.05,17.73,40.03,44.19,60.65,53.11,52.31,36.5,36.72,41.99,scanId-21ff93c6-8fb0-4a64-9ba3-25d653b434a2-dxl-custom-measures-version-1.5.2_14_03_2024.json,15-03-2024,59:52.1,1.5.2,Brooks Brothers,2024,3,27.85,7.4,18.71,8.44,24.24,50.36,42.76,13.9,50.61,15.19,41.62,57.4
40,f0a4c12e-19cf-4ce5-9934-ebe87f7f5a32,Denim,"Waist: 50 , Inseam: 30",59.45,75.7,29.67,29.96,16.91,42.87,41.46,56.39,50.56,50.13,33.84,33.75,49.58,scanId-f0a4c12e-19cf-4ce5-9934-ebe87f7f5a32-dxl-custom-measures-version-1.5.2_10_04_2024.json,11-04-2024,42:51.5,1.5.2,Brooks Brothers,2024,4,27.39,6.57,21.84,8.33,27.75,56.46,42.04,13.06,45.3,13.01,50.63,50.04
41,f0a4c12e-19cf-4ce5-9934-ebe87f7f5a32,Denim,"Waist: 44 , Inseam: 32",59.66,79.28,31.63,31.5,17.02,41.53,45.48,52.79,46.64,54.38,33.6,36.37,43.21,scanId-f0a4c12e-19cf-4ce5-9934-ebe87f7f5a32-dxl-custom-measures-version-1.5.2_10_04_2024.json,11-04-2024,42:51.5,1.5.2,7 for All Man Kind,2024,4,29.29,7.63,18.26,6.78,29.66,56.13,50.23,16.91,50.78,16.51,43.84,54.71
42,5f1456ba-a408-4f64-a395-45287e8a79f7,Casual Pants,"Waist: 40 , Inseam: 33",48.64,77.96,32.55,32.51,18.11,42.45,45.22,61.38,48.62,55.77,34.09,33.35,40.78,scanId-5f1456ba-a408-4f64-a395-45287e8a79f7-dxl-custom-measures-version-1.5.2_19_03_2024.json,20-03-2024,11:12.1,1.5.2,Calvin Klein,2024,3,28.77,7.48,21.82,6.55,29.94,55.8,43.52,13.81,51.97,13.92,40.47,53.19
43,80d19722-8345-44fe-be4f-3a9f37b0ba35,Shorts,"Waist: 42 , Inseam: 36",50.42,77.06,35.59,36.25,18.77,42.14,40.43,59.28,46.23,55.82,34.29,35.35,41.35,scanId-80d19722-8345-44fe-be4f-3a9f37b0ba35-dxl-custom-measures-version-1.5.2_26_06_2025.json,27-06-2025,33:52.1,1.5.2,7 for All Man Kind,2025,6,24.92,7.17,18.51,7.45,28.92,57.43,47.3,15.61,45.86,13.36,42.53,53.93
44,80d19722-8345-44fe-be4f-3a9f37b0ba35,Dress Pants,"Waist: 54 , Inseam: 32",59.55,78.97,31.99,31.59,17.64,43.52,41.77,54.78,49.27,55.14,34.81,35.41,54.78,scanId-80d19722-8345-44fe-be4f-3a9f37b0ba35-dxl-custom-measures-version-1.5.2_26_06_2025.json,27-06-2025,33:52.1,1.5.2,Polo Ralph Lauren,2025,6,25.58,8.48,18.35,6.52,25.9,57.01,50.92,16.75,53.4,15.97,53.91,54.37
45,80d19722-8345-44fe-be4f-3a9f37b0ba35,Casual Pants,"Waist: 52 , Inseam: 34",57.03,77.99,34.36,33.63,17.4,39.79,38.6,56.45,53.33,51.09,35.61,33.25,51.87,scanId-80d19722-8345-44fe-be4f-3a9f37b0ba35-dxl-custom-measures-version-1.5.2_26_06_2025.json,27-06-2025,33:52.1,1.5.2,Polo Ralph Lauren,2025,6,24.89,6.58,20.26,7.84,24.71,59.53,46.61,14.93,53.19,16.4,52.8,52.51
46,8d5b2479-20df-4742-a9cc-b1c059ca56fa,Casual Pants,"Waist: 48 , Inseam: 36",53.77,68.92,35.88,35.51,19.35,38.91,41.69,55.31,49.1,48.43,35.38,33.3,47.88,scanId-8d5b2479-20df-4742-a9cc-b1c059ca56fa-dxl-custom-measures-version-1.5.2_03_09_2024.json,04-09-2024,13:17.7,1.5.2,7 for All Man Kind,2024,9,26.24,7.44,20.39,6.67,28.08,50.11,46.26,14.59,53.58,16.71,47.38,54.13
47,c67ce966-a132-4e1f-93a8-8527c0331cf6,Denim,"Waist: 42 , Inseam: 32",55.24,76.25,32.22,32.08,18.62,45.0,40.92,58.98,49.48,49.66,35.08,34.98,41.27,scanId-c67ce966-a132-4e1f-93a8-8527c0331cf6-dxl-custom-measures-version-1.5.2_30_06_2024.json,01-07-2024,35:27.4,1.5.2,Polo Ralph Lauren,2024,6,26.31,6.87,20.32,8.22,24.85,58.59,43.39,14.64,53.55,15.75,41.28,53.91
48,c294c56d-46c4-4a30-985b-1de51d619d96,Casual Pants,"Waist: 50 , Inseam: 28",49.41,72.07,28.34,27.98,18.14,44.51,41.22,56.07,48.75,51.17,33.39,36.4,49.07,scanId-c294c56d-46c4-4a30-985b-1de51d619d96-dxl-custom-measures-version-1.5.2_16_11_2025.json,17-11-2025,37:23.2,1.5.2,Polo Ralph Lauren,2025,11,27.16,7.86,20.57,7.17,29.52,50.19,42.92,13.8,49.25,14.71,49.54,50.24
49,c294c56d-46c4-4a30-985b-1de51d619d96,Casual Pants,"Waist: 46 , Inseam: 36",49.65,77.92,35.62,35.81,17.36,38.12,42.61,58.39,50.93,51.51,36.55,36.34,46.76,scanId-c294c56d-46c4-4a30-985b-1de51d619d96-dxl-custom-measures-version-1.5.2_16_11_2025.json,17-11-2025,37:23.2,1.5.2,7 for All Man Kind,2025,11,26.94,6.54,18.79,8.21,25.92,58.66,49.78,15.99,45.5,16.55,46.1,53.01
50,c294c56d-46c4-4a30-985b-1de51d619d96,Dress Pants,"Waist: 44 , Inseam: 33",59.88,73.45,32.84,32.98,16.74,39.3,44.53,53.74,52.3,52.46,36.93,35.6,43.24,scanId-c294c56d-46c4-4a30-985b-1de51d619d96-dxl-custom-measures-version-1.5.2_16_11_2025.json,17-11-2025,37:23.2,1.5.2,Tommy Hilfiger,2025,11,28.99,7.21,18.08,8.47,29.91,58.84,43.69,13.85,44.04,16.6,43.18,46.0
51,cf9cd678-75e5-4632-8d73-9500f46fe294,Shorts,"Waist: 38 , Inseam: 36",51.55,78.85,36.19,35.71,17.99,42.23,40.82,61.85,46.23,56.52,35.78,33.94,38.97,scanId-cf9cd678-75e5-4632-8d73-9500f46fe294-dxl-custom-measures-version-1.5.2_17_01_2025.json,18-01-2025,56:11.2,1.5.2,Calvin Klein,2025,1,27.25,8.19,20.01,8.44,29.32,56.21,44.4,16.17,44.69,15.86,38.68,55.66
52,99bffff5-14d6-4eae-b63f-7e16b5f3c826,Dress Pants,"Waist: 38 , Inseam: 34",58.83,72.98,34.13,33.84,17.83,39.7,41.05,55.22,51.4,56.08,36.27,33.48,37.95,scanId-99bffff5-14d6-4eae-b63f-7e16b5f3c826-dxl-custom-measures-version-1.5.2_04_09_2024.json,05-09-2024,12:28.1,1.5.2,Tommy Hilfiger,2024,9,25.97,8.41,20.09,7.04,29.37,59.51,50.57,15.82,49.48,14.28,37.29,46.17
53,99bffff5-14d6-4eae-b63f-7e16b5f3c826,Dress Pants,"Waist: 52 , Inseam: 28",58.56,78.58,28.24,28.16,19.72,42.43,43.16,60.23,51.71,55.7,36.7,36.81,52.07,scanId-99bffff5-14d6-4eae-b63f-7e16b5f3c826-dxl-custom-measures-version-1.5.2_04_09_2024.json,05-09-2024,12:28.1,1.5.2,Polo Ralph Lauren,2024,9,28.13,7.68,19.75,7.86,29.75,53.12,46.57,16.52,53.68,13.52,51.21,47.92
54,ad95823a-8eff-4458-ab37-049a83dd3092,Denim,"Waist: 38 , Inseam: 28",57.72,78.45,28.03,27.76,19.29,39.69,40.09,53.05,47.8,54.12,34.48,36.61,37.06,scanId-ad95823a-8eff-4458-ab37-049a83dd3092-dxl-custom-measures-version-1.5.2_24_08_2025.json,25-08-2025,39:56.2,1.5.2,Tommy Hilfiger,2025,8,29.38,7.37,19.11,8.18,28.19,54.2,45.31,15.85,50.62,16.27,38.16,46.81
55,670edb18-c7f5-4c83-9749-67215b194ce8,Shorts,"Waist: 54 , Inseam: 32",54.75,78.41,32.1,31.89,16.32,40.09,39.55,52.3,50.92,52.46,33.51,35.99,54.13,scanId-670edb18-c7f5-4c83-9749-67215b194ce8-dxl-custom-measures-version-1.5.2_21_10_2025.json,22-10-2025,34:16.8,1.5.2,Brooks Brothers,2025,10,29.35,6.79,20.85,6.78,29.06,51.91,42.59,13.75,45.92,16.84,54.99,53.71
