invoiceid,invoice_pk,orderid,orderpk,createdtimestamp,cleanuptaskid,errordescription,iserror,publishcount,process,failedamount,fulfillmentdate,sellinglocationid,updatedby,amountprocessed,totalcharges,invoicesubtotal,parentorderid,taxexemptid,totaltaxes,totaldiscounts,publishstatusid,statusid,updatedtimestamp,createdby,invoicetypeid,customerid,orgid,contextid,packageid,invoicetotal,unique_identifier,invoiceadditional,messageid,load_date,update_date
123000011,6065997464361280130,122000011,6197843680317919174,2024-03-09T00:00:00.000,TASK9469,SUCCESS,False,2,PROCESSED,0,2024-03-13T00:00:00.000,LOC2982,user6999@dxlg.com,215.62,11.15,198.37,NONE,NONE,17.25,10.78,2000,100,2024-03-09T05:00:00.000,system@dxlg.com,CREDIT,CUST26854,dxlg-us,f9d446cd-714b-4b99-91b0-08468a999cd3,PKG65905,215.62,7e70d56f-9ea4-4ad1-a2b1-554ca56fb2f1,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",fec33865-1b7b-4322-b1e8-e14f1a71e89e,2025-12-05,2025-12-05
123000013,6161996199140943916,122000013,6972787905694829910,2024-07-25T00:00:00.000,TASK7900,NONE,False,1,FINALIZED,0,2024-07-26T00:00:00.000,LOC6804,user7235@dxlg.com,138.41,9.83,127.34,NONE,TAX002,11.07,6.92,2000,300,2024-07-25T09:00:00.000,system@dxlg.com,CREDIT,CUST32836,dxlg-us,f4f20be6-fc0b-4edb-8b39-31a335c4d6d4,PKG11595,138.41,e5c6df91-df5f-4c9d-a533-66d7935f84c0,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",c8ea9b3e-81a0-4121-813e-eef3f5e06099,2025-12-05,2025-12-05
123000014,6973206727108451740,122000014,6891428691485664311,2022-02-23T00:00:00.000,TASK2566,SUCCESS,False,2,PROCESSED,0,2022-02-28T00:00:00.000,LOC7912,user7146@dxlg.com,157.18,10.74,144.61,NONE,TAX001,12.57,7.86,2000,300,2022-02-23T16:00:00.000,system@dxlg.com,DEBIT,CUST21646,dxlg-us,3df2098d-a2bc-41df-9a45-01887fd4b91e,PKG94999,157.18,c7497166-1915-4791-8696-9d5d01976010,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",524644e3-2b42-4805-b3c2-2c81a4e52200,2025-12-05,2025-12-05
123000016,6142636093047672347,122000016,6427339904399511719,2025-06-16T00:00:00.000,TASK7191,NONE,False,1,PROCESSED,0,2025-06-19T00:00:00.000,LOC1958,user3526@dxlg.com,441.48,14.45,406.16,NONE,TAX001,35.32,22.07,3000,200,2025-06-16T12:00:00.000,system@dxlg.com,CREDIT,CUST20006,dxlg-us,995f12e5-c069-4fe9-8be7-acc6871075e8,PKG35425,441.48,495dac51-d3b7-43f3-b3d9-8a5fa288106a,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",b1bb16bb-5862-4d7c-bea6-95d8b20d6443,2025-12-05,2025-12-05
123000018,6425493177067083570,122000018,6241965462980603311,2022-04-16T00:00:00.000,TASK3242,COMPLETED,False,2,COMPLETED,0,2022-04-19T00:00:00.000,LOC5351,user2260@dxlg.com,356.56,11.68,328.04,NONE,TAX002,28.52,17.83,3000,300,2022-04-17T00:00:00.000,system@dxlg.com,CREDIT,CUST59431,dxlg-us,ef3c031b-8f03-4fe7-9226-9dd5ee4f3299,PKG25333,356.56,647bba83-a97c-4b02-bc0e-46aabc277c79,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",b6e73f15-0181-492a-bd6f-25052a1822af,2025-12-05,2025-12-05
123000019,6738203753739780309,122000019,6743870777047402098,2022-05-23T00:00:00.000,TASK1822,COMPLETED,False,2,PROCESSED,0,2022-05-27T00:00:00.000,LOC2127,user4521@dxlg.com,106.86,6.53,98.31,NONE,TAX002,8.55,5.34,2000,300,2022-05-23T19:00:00.000,system@dxlg.com,DEBIT,CUST48830,dxlg-us,22b3d6cd-7da6-4057-bf49-e494b36129f2,PKG15938,106.86,e57a025e-b257-4a03-a118-a92ec48943ed,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",c1943a1a-ecf2-4953-8770-21f8a5e26372,2025-12-05,2025-12-05
123000020,6712328707479653004,122000020,6977064836996282655,2021-07-04T00:00:00.000,TASK9097,SUCCESS,False,2,PROCESSED,0,2021-07-08T00:00:00.000,LOC5462,user1172@dxlg.com,294.48,11.2,270.92,NONE,TAX002,23.56,14.72,1000,200,2021-07-04T17:00:00.000,system@dxlg.com,STANDARD,CUST81777,dxlg-us,13d20bf4-c124-48f1-b2ca-6b38a0e9980e,PKG97033,294.48,c26be80e-b52c-4674-8b6c-6ef41620928b,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",48a6d327-d952-4ba7-bf26-b67c2057ea17,2025-12-05,2025-12-05
123000021,6447528272975318951,122000021,6715776243839486777,2024-09-30T00:00:00.000,TASK6784,COMPLETED,False,2,PROCESSED,0,2024-10-03T00:00:00.000,LOC6464,user8331@dxlg.com,392.64,5.33,361.23,NONE,TAX002,31.41,19.63,2000,300,2024-09-30T12:00:00.000,system@dxlg.com,STANDARD,CUST70786,dxlg-us,43982c50-32c4-42f3-a83f-7e1833fe6646,PKG27296,392.64,ad901090-6945-47ab-af24-b2ad2f2b287f,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",b89dc61c-f54f-4f7a-ac73-e8d55c7421d7,2025-12-05,2025-12-05
123000022,6640501828103567829,122000022,6371007110297429763,2021-09-02T00:00:00.000,TASK9887,SUCCESS,False,1,FINALIZED,0,2021-09-05T00:00:00.000,LOC8041,user6138@dxlg.com,441.34,7.94,406.03,NONE,TAX002,35.31,22.07,3000,200,2021-09-02T12:00:00.000,system@dxlg.com,DEBIT,CUST62332,dxlg-us,8143d7d3-b047-47d3-b351-f7dfe021acbc,PKG65891,441.34,f0804c65-5991-46c9-a818-f304ed934f51,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",a83c3d9d-add4-4fd6-aeb7-c2af4f2c13eb,2025-12-05,2025-12-05
123000023,6561700885123067929,122000023,6890961310549863799,2024-07-22T00:00:00.000,TASK6480,SUCCESS,False,3,PROCESSED,0,2024-07-26T00:00:00.000,LOC3900,user6873@dxlg.com,276.98,8.32,254.82,NONE,NONE,22.16,13.85,2000,100,2024-07-22T19:00:00.000,system@dxlg.com,DEBIT,CUST66814,dxlg-us,9329a60c-23e8-424b-818f-ece829f167f0,PKG26217,276.98,0c912602-c1c5-43f3-ab75-d4c8d8583088,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",3031e1d6-afbc-41a8-9f7f-d946d6049da7,2025-12-05,2025-12-05
123000024,6897012744370390192,122000024,6885166069631098851,2025-04-11T00:00:00.000,TASK4920,COMPLETED,False,3,PROCESSED,0,2025-04-13T00:00:00.000,LOC6000,user6824@dxlg.com,411.17,14.57,378.28,NONE,TAX001,32.89,20.56,2000,200,2025-04-11T20:00:00.000,system@dxlg.com,CREDIT,CUST93249,dxlg-us,fa76c15f-3072-460a-8e18-474127092170,PKG39328,411.17,bfdbe003-af60-4540-ba12-f5fa85a15d04,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",5f6ee33e-701e-4afd-be70-4475c1d36f37,2025-12-05,2025-12-05
123000025,6051674166419727830,122000025,6793843854492539750,2025-09-17T00:00:00.000,TASK8168,SUCCESS,False,3,PROCESSED,0,2025-09-19T00:00:00.000,LOC1452,user1740@dxlg.com,269.83,6.79,248.24,NONE,TAX001,21.59,13.49,3000,300,2025-09-17T13:00:00.000,system@dxlg.com,DEBIT,CUST64404,dxlg-us,3d7b26a8-67e3-443a-bbdc-6f1fc935a2e5,PKG26174,269.83,be8e58c6-5d60-4bfc-bec7-1ff7f52f5f27,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",f058d22f-a428-4478-8db7-0ba83dfd2fca,2025-12-05,2025-12-05
123000026,6093319446805881652,122000026,6875786713893851619,2022-02-17T00:00:00.000,TASK8725,COMPLETED,False,1,COMPLETED,0,2022-02-19T00:00:00.000,LOC1027,user9769@dxlg.com,85.33,12.05,78.5,NONE,TAX002,6.83,4.27,1000,100,2022-02-17T23:00:00.000,system@dxlg.com,DEBIT,CUST26790,dxlg-us,1fa0ab9c-93b0-44f3-8a91-b7b7e4f64aa6,PKG65676,85.33,009e9427-af40-48af-a78c-3b035e2ca7a5,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",3fb84c64-8150-4337-87d3-e61de623a542,2025-12-05,2025-12-05
123000027,6500367692190490821,122000027,6715598662529001379,2025-09-08T00:00:00.000,TASK4965,SUCCESS,False,2,FINALIZED,0,2025-09-13T00:00:00.000,LOC7592,user9589@dxlg.com,172.91,13.28,159.08,NONE,TAX001,13.83,8.65,1000,200,2025-09-08T15:00:00.000,system@dxlg.com,DEBIT,CUST21533,dxlg-us,fc916a44-d3b2-4bc3-b4e3-20abd227a2c8,PKG77810,172.91,08743767-f0dc-402b-b31d-d95001be7f33,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",b5df87f4-9a6d-4f31-8b41-b31786dc843d,2025-12-05,2025-12-05
123000028,6116499024560684861,122000028,6135570316404487865,2020-01-02T00:00:00.000,TASK6490,COMPLETED,False,3,FINALIZED,0,2020-01-05T00:00:00.000,LOC6279,user9477@dxlg.com,364.85,10.2,335.66,NONE,TAX001,29.19,18.24,3000,200,2020-01-02T06:00:00.000,system@dxlg.com,DEBIT,CUST61995,dxlg-us,2d46529e-d686-425a-9bbd-bae2e2852a8d,PKG85527,364.85,f46fad88-158f-4ebf-85fe-6369a24aa553,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",a5ad76b3-c621-4453-b74b-4dacf2c70ee5,2025-12-05,2025-12-05
123000030,6742556369495476001,122000030,6981312704242093690,2020-01-23T00:00:00.000,TASK7507,NONE,False,3,FINALIZED,0,2020-01-24T00:00:00.000,LOC4585,user6620@dxlg.com,202.16,12.62,185.99,NONE,NONE,16.17,10.11,3000,100,2020-01-23T20:00:00.000,system@dxlg.com,STANDARD,CUST32538,dxlg-us,79994ec0-8e66-4453-9c9c-1e0de9f1e615,PKG54603,202.16,6ef775f9-1dc0-401b-93c0-5f737009818d,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",66f2f0ce-dc8c-4f12-bb8c-9be98f5c5540,2025-12-05,2025-12-05
123000031,6957641117655112690,122000031,6301753323455471420,2023-07-23T00:00:00.000,TASK8767,SUCCESS,False,1,PROCESSED,0,2023-07-28T00:00:00.000,LOC9976,user9809@dxlg.com,351.27,14.53,323.17,NONE,TAX002,28.1,17.56,3000,300,2023-07-23T07:00:00.000,system@dxlg.com,CREDIT,CUST48825,dxlg-us,ec1285e5-834c-4269-ad78-cb459ee5f1e0,PKG58497,351.27,fbcabed1-179b-4224-883a-384d0796ebb9,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",cafd1ddf-da6f-43e3-abfe-4f2d1cd3b1b3,2025-12-05,2025-12-05
123000032,6583242683406280498,122000032,6283448734269531247,2024-12-06T00:00:00.000,TASK4921,SUCCESS,False,3,FINALIZED,0,2024-12-08T00:00:00.000,LOC5451,user9250@dxlg.com,357.35,8.48,328.76,NONE,NONE,28.59,17.87,2000,300,2024-12-06T06:00:00.000,system@dxlg.com,CREDIT,CUST71762,dxlg-us,b4387106-1242-4c24-b020-d188acfa76cb,PKG47698,357.35,34da30af-698e-4668-9f6e-d78faf729628,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",1999c474-ea80-4918-aad9-4944628e3315,2025-12-05,2025-12-05
123000034,6546848357618303296,122000034,6783821170101060607,2024-09-12T00:00:00.000,TASK3866,NONE,False,3,PROCESSED,0,2024-09-13T00:00:00.000,LOC8999,user7887@dxlg.com,303.74,6.59,279.44,NONE,NONE,24.3,15.19,1000,200,2024-09-12T19:00:00.000,system@dxlg.com,CREDIT,CUST25993,dxlg-us,45d1c2f1-031e-4b94-a48f-b0981718135d,PKG74076,303.74,ab3bc4f8-a0fe-48a0-a222-d1e2b9c4c345,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",80bb3490-1f05-47e7-942d-e56cbd19889e,2025-12-05,2025-12-05
123000036,6836962489764985345,122000036,6746648731925454544,2023-10-14T00:00:00.000,TASK9390,SUCCESS,False,3,COMPLETED,0,2023-10-17T00:00:00.000,LOC7906,user3319@dxlg.com,401.86,6.55,369.71,NONE,TAX001,32.15,20.09,3000,100,2023-10-14T15:00:00.000,system@dxlg.com,DEBIT,CUST92671,dxlg-us,14144c81-edd0-46b0-a295-ce3fcf03931d,PKG44521,401.86,8e6c3eec-60ba-4992-8bf3-b2dbaac17300,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",31c9cb53-965b-475d-ae62-cecb69b47196,2025-12-05,2025-12-05
123000037,6524531700323578249,122000037,6803220426803211294,2022-10-09T00:00:00.000,TASK1518,SUCCESS,False,1,COMPLETED,0,2022-10-12T00:00:00.000,LOC4908,user3111@dxlg.com,58.42,11.56,53.75,NONE,TAX001,4.67,2.92,1000,300,2022-10-09T16:00:00.000,system@dxlg.com,CREDIT,CUST79087,dxlg-us,727f1e9e-35ba-4511-93b6-6495931f4231,PKG58288,58.42,dbee0fc3-f9eb-4836-adda-acde85ad342e,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",f8806c3a-bb3b-41ef-acdf-2a0f5f795582,2025-12-05,2025-12-05
123000038,6224229504223159690,122000038,6309597143639037330,2023-06-28T00:00:00.000,TASK7353,COMPLETED,False,2,FINALIZED,0,2023-07-02T00:00:00.000,LOC7149,user1544@dxlg.com,254.22,8.07,233.88,NONE,TAX002,20.34,12.71,3000,100,2023-06-28T20:00:00.000,system@dxlg.com,DEBIT,CUST78908,dxlg-us,15cc11ef-3a19-4476-8eb3-d9886589d439,PKG38721,254.22,ff392ac9-8dab-42ab-ae2c-8a7c21f2b133,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",a8b0be9c-70de-431d-a129-396f1a988f26,2025-12-05,2025-12-05
123000039,6770553558489758132,122000039,6648783749534885970,2024-10-20T00:00:00.000,TASK3191,NONE,False,3,FINALIZED,0,2024-10-25T00:00:00.000,LOC1207,user8200@dxlg.com,384.02,7.48,353.3,NONE,TAX001,30.72,19.2,2000,200,2024-10-20T15:00:00.000,system@dxlg.com,CREDIT,CUST58855,dxlg-us,106fa76c-ad3a-4176-ab8f-afb985707810,PKG80601,384.02,adf8c910-8b03-4bbf-940c-2a17f472a981,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",c06da9bb-cc51-49d0-9854-54b0c1bdf8e3,2025-12-05,2025-12-05
123000041,6826749285814247945,122000041,6526449015922909542,2024-04-01T00:00:00.000,TASK4534,NONE,False,2,PROCESSED,0,2024-04-05T00:00:00.000,LOC3979,user5489@dxlg.com,159.78,9.35,147.0,NONE,NONE,12.78,7.99,1000,100,2024-04-01T06:00:00.000,system@dxlg.com,STANDARD,CUST88875,dxlg-us,80bf17bb-d3e4-4e32-9a60-9aeebac9719e,PKG42857,159.78,ba003721-dfcb-4e43-a124-82f0d3f9b69f,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",2af68eb8-7808-4bb7-a112-976ff90d3a44,2025-12-05,2025-12-05
123000042,6401505442517219374,122000042,6054885868353802154,2024-07-22T00:00:00.000,TASK3843,COMPLETED,False,3,COMPLETED,0,2024-07-24T00:00:00.000,LOC9041,user4158@dxlg.com,259.16,13.22,238.43,NONE,TAX002,20.73,12.96,1000,200,2024-07-22T10:00:00.000,system@dxlg.com,STANDARD,CUST52153,dxlg-us,ffccb39a-fd48-4368-9bfd-d7d071f09288,PKG66098,259.16,2cdce806-3124-4f95-99e8-5c3b443ed9ab,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",1817db8f-e016-47a8-960a-bfd3e4801494,2025-12-05,2025-12-05
123000043,6007135445773544599,122000043,6218608741890840898,2023-11-09T00:00:00.000,TASK7125,COMPLETED,False,1,PROCESSED,0,2023-11-11T00:00:00.000,LOC6764,user1903@dxlg.com,421.3,9.09,387.6,NONE,TAX002,33.7,21.07,1000,200,2023-11-09T03:00:00.000,system@dxlg.com,CREDIT,CUST17077,dxlg-us,3e91e99e-a77b-4506-ae44-0e9c37ebff7b,PKG16407,421.3,fcd7a0df-f80b-4444-b888-af9bc654aa45,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",f600f1d4-5d67-4668-b9bd-db0a8bc4fe92,2025-12-05,2025-12-05
123000044,6087933983440250626,122000044,6426333182262077575,2022-06-05T00:00:00.000,TASK1504,SUCCESS,False,2,FINALIZED,0,2022-06-10T00:00:00.000,LOC2647,user3011@dxlg.com,429.92,5.77,395.53,NONE,NONE,34.39,21.5,2000,100,2022-06-05T17:00:00.000,system@dxlg.com,STANDARD,CUST96143,dxlg-us,5bd411bb-878a-4825-9d32-a01a946cf4b5,PKG30256,429.92,dcf47db1-355d-4245-868a-b347eee98e89,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",fed2b7e5-7f6b-46ba-8528-b12394278da0,2025-12-05,2025-12-05
123000045,6786629211502465057,122000045,6101540452962188922,2020-08-11T00:00:00.000,TASK7558,SUCCESS,False,3,PROCESSED,0,2020-08-13T00:00:00.000,LOC9042,user9472@dxlg.com,263.74,11.58,242.64,NONE,TAX001,21.1,13.19,3000,300,2020-08-11T07:00:00.000,system@dxlg.com,STANDARD,CUST58561,dxlg-us,ee832855-b624-446d-bb22-3797ea815f7b,PKG57111,263.74,ceed1f74-b165-4256-973e-df4a86ee9ff9,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",08ce23ac-5deb-4f39-981a-8797c994f503,2025-12-05,2025-12-05
123000046,6057671211535531183,122000046,6632065974318026335,2021-04-12T00:00:00.000,TASK5666,NONE,False,2,PROCESSED,0,2021-04-14T00:00:00.000,LOC2213,user8780@dxlg.com,402.15,14.75,369.98,NONE,TAX001,32.17,20.11,3000,200,2021-04-12T01:00:00.000,system@dxlg.com,STANDARD,CUST93092,dxlg-us,44622492-5760-4163-8d6c-ba6d29d505d9,PKG66670,402.15,889c563b-9d21-4581-9fec-be9f9ca51220,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",a23424f3-205c-47a7-82a7-72b22100c27c,2025-12-05,2025-12-05
123000047,6125411349049400710,122000047,6827494261590458612,2022-07-13T00:00:00.000,TASK1205,NONE,False,1,PROCESSED,0,2022-07-18T00:00:00.000,LOC8253,user1312@dxlg.com,403.91,6.53,371.6,NONE,TAX002,32.31,20.2,3000,100,2022-07-13T07:00:00.000,system@dxlg.com,CREDIT,CUST60121,dxlg-us,61626836-fdbe-4f8d-b9c4-3f244f0beb1a,PKG12164,403.91,746982dd-faa0-405e-8581-e2b8c7b468f5,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",ef235991-757e-460c-b150-0d3bd08bdfab,2025-12-05,2025-12-05
123000048,6423945188698743882,122000048,6659806501083500352,2020-11-28T00:00:00.000,TASK2979,COMPLETED,False,3,FINALIZED,0,2020-12-03T00:00:00.000,LOC3564,user6584@dxlg.com,398.95,7.22,367.03,NONE,NONE,31.92,19.95,1000,300,2020-11-28T15:00:00.000,system@dxlg.com,CREDIT,CUST24668,dxlg-us,1ca5800b-e62f-46d9-bfd6-b99fb409c1e7,PKG63206,398.95,28d73199-317c-48c4-ad26-e4bedce2d2d0,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",8422b744-ceb5-4638-9cd6-699701ccfc9e,2025-12-05,2025-12-05
123000049,6258777676896734800,122000049,6538626449086088661,2022-12-19T00:00:00.000,TASK3065,NONE,False,1,COMPLETED,0,2022-12-21T00:00:00.000,LOC7965,user6279@dxlg.com,350.72,7.5,322.66,NONE,TAX002,28.06,17.54,3000,200,2022-12-19T17:00:00.000,system@dxlg.com,CREDIT,CUST49196,dxlg-us,6e1b28a8-c167-427f-a6df-01467c8ad71d,PKG32499,350.72,997c875d-7114-4fdb-81cd-7f06fb8506db,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",16765999-9459-4a5d-b4bf-a9ce2f55b6e2,2025-12-05,2025-12-05
123000051,6205223206498625392,122000051,6073911884352937273,2022-07-26T00:00:00.000,TASK4451,SUCCESS,False,3,FINALIZED,0,2022-07-28T00:00:00.000,LOC1659,user6941@dxlg.com,62.78,5.2,57.76,104258878,TAX002,5.02,3.14,2000,300,2022-07-26T12:00:00.000,system@dxlg.com,DEBIT,CUST77565,dxlg-us,b4f2336d-a588-417a-b342-9701082f22ed,PKG42781,62.78,3ad2383a-0887-4838-b25a-3ccae9b580fc,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",c037bff7-ec46-44b4-96de-8a548ac0c4b5,2025-12-05,2025-12-05
123000052,6026111607596611533,122000052,6919853730080326640,2025-04-09T00:00:00.000,TASK3340,NONE,False,3,PROCESSED,0,2025-04-11T00:00:00.000,LOC2713,user4220@dxlg.com,477.49,11.94,439.29,NONE,NONE,38.2,23.87,1000,100,2025-04-09T06:00:00.000,system@dxlg.com,CREDIT,CUST75442,dxlg-us,a1619ea7-00fa-4db2-b972-fb793003a9cb,PKG75950,477.49,299f9e73-2eb1-406f-a696-4b13ba385cb3,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",f12e411c-4f44-44db-935b-bdd0a8fd6464,2025-12-05,2025-12-05
