inc_id,scan_id,bmctotal,bodyfat,fitness,leanbodymass,leanmassarms,leanmasslegs,shoulderwidth,visceraladiposetissue,weight,neck,chest,underbust,overarm,bicepleft,bicepright,forearmleft,forearmright,wristleft,wristright,stomach,seat,thighleft,thighright,calfleft,calfright,waist,bodysurfacearea,pantwaist,backneck2waist,sleeveleft,sleeveright,acrossshoulder,crotchlength,inseam,chestcb,hipscb,outseamleft,outseamright,process_date,load_filename,load_timestamp,version,year,month
15,08f0b6a2-5b8b-4016-be98-71f63fedae19,3575.3,50.38,10.83,228.98,9626.27,25311.31,21.15,3672.22,94.8,20.54,48.58,56.86,64.01,16.72,19.81,15.41,15.36,9.54,9.2,60.37,48.3,33.0,31.53,16.47,21.23,63.9,4153.33,67.43,19.92,34.27,36.49,21.81,38.26,34.87,51.55,49.07,38.48,41.41,26-02-2025,scanId-08f0b6a2-5b8b-4016-be98-71f63fedae19_2025_02_25_00_00_00.json-app-measures-version-5.0.0,45:54.3,5.0.0,2025,2
16,b625b7bf-6e9e-4b81-8244-830ae6e527b1,4914.28,58.29,6.12,249.94,8771.55,28430.92,20.16,3960.34,153.77,22.01,55.46,49.18,60.86,14.66,19.45,12.61,14.58,7.96,7.56,56.34,61.08,27.33,28.42,16.43,16.7,60.32,3700.1,68.98,21.12,34.35,35.47,21.58,36.03,30.09,48.51,53.23,39.51,38.93,03-07-2024,scanId-b625b7bf-6e9e-4b81-8244-830ae6e527b1_2024_07_02_00_00_00.json-app-measures-version-5.0.0,18:12.2,5.0.0,2024,7
17,09bbc34f-a286-464a-b90a-f404f890fae2,4322.92,32.72,13.82,167.14,11396.89,34370.17,19.51,1532.48,118.84,19.8,57.57,54.16,52.73,16.59,19.79,12.04,14.62,9.6,7.08,58.43,55.13,28.82,26.79,16.94,17.82,63.67,4141.78,48.15,21.54,34.86,36.3,21.05,38.79,35.85,54.51,67.6,36.29,36.45,12-06-2024,scanId-09bbc34f-a286-464a-b90a-f404f890fae2_2024_06_11_00_00_00.json-app-measures-version-5.0.0,58:20.4,5.0.0,2024,6
18,246415c5-9742-48e9-b48c-aff68acdbab0,4105.21,29.82,8.36,206.06,9659.32,30833.16,24.08,2819.72,124.28,22.37,63.16,61.27,67.97,16.26,14.45,14.28,12.64,8.82,7.83,54.38,50.49,25.22,31.47,20.43,21.56,42.7,3989.38,60.98,21.67,33.86,34.44,20.46,41.13,35.71,58.34,57.46,38.54,36.08,23-07-2025,scanId-246415c5-9742-48e9-b48c-aff68acdbab0_2025_07_22_00_00_00.json-app-measures-version-5.0.0,49:38.5,5.0.0,2025,7
19,00102aa7-8a81-4aca-b9d8-372552fab2d1,4610.76,31.02,10.79,199.48,9343.54,28344.67,20.05,2130.62,100.7,17.1,53.83,55.44,63.24,14.84,16.47,12.38,13.91,7.83,9.54,45.81,61.12,35.96,34.73,20.83,21.07,55.39,3857.68,48.97,19.71,35.91,35.68,22.44,37.42,28.05,51.86,46.42,39.4,41.77,04-04-2024,scanId-00102aa7-8a81-4aca-b9d8-372552fab2d1_2024_04_03_00_00_00.json-app-measures-version-5.0.0,55:57.3,5.0.0,2024,4
20,fe77fe8a-38e3-43e9-b10f-99f1949cd7b9,4295.14,57.83,12.02,196.06,8402.93,24607.12,21.44,3904.65,149.69,18.99,67.23,53.07,52.68,17.78,17.5,15.53,12.79,8.47,7.2,64.97,50.12,28.38,26.01,20.73,19.12,49.76,3632.52,64.02,18.07,35.85,34.68,20.22,42.16,31.99,66.75,52.71,36.83,36.6,11-07-2025,scanId-fe77fe8a-38e3-43e9-b10f-99f1949cd7b9_2025_07_10_00_00_00.json-app-measures-version-5.0.0,18:21.1,5.0.0,2025,7
21,21ff93c6-8fb0-4a64-9ba3-25d653b434a2,4646.95,33.07,14.75,239.36,14874.88,33219.33,21.92,3624.86,170.1,17.86,55.71,64.28,61.13,16.4,15.97,13.23,12.84,7.51,8.93,59.99,68.95,33.88,28.89,17.43,21.05,47.96,3531.23,67.66,20.78,34.01,33.76,22.3,32.39,35.18,62.08,52.03,37.51,36.77,15-03-2024,scanId-21ff93c6-8fb0-4a64-9ba3-25d653b434a2_2024_03_14_00_00_00.json-app-measures-version-5.0.0,59:52.1,5.0.0,2024,3
22,f0a4c12e-19cf-4ce5-9934-ebe87f7f5a32,4227.47,29.63,12.72,168.58,13275.64,22050.85,20.11,3430.86,128.37,18.41,64.38,65.75,52.15,15.61,18.44,14.6,12.55,8.5,8.6,63.13,64.89,32.46,35.95,20.42,16.18,58.51,3638.94,55.01,21.04,33.12,36.35,21.15,43.43,34.48,56.49,58.83,39.95,38.97,11-04-2024,scanId-f0a4c12e-19cf-4ce5-9934-ebe87f7f5a32_2024_04_10_00_00_00.json-app-measures-version-5.0.0,42:51.5,5.0.0,2024,4
23,5f1456ba-a408-4f64-a395-45287e8a79f7,4530.48,41.17,6.88,163.95,11845.35,22875.41,22.84,2676.33,173.73,22.55,64.09,50.05,59.96,16.34,20.92,15.42,13.89,9.58,8.54,61.62,45.48,32.96,32.75,17.34,19.61,53.41,4241.37,68.83,18.75,33.85,36.63,23.03,40.44,31.49,67.42,58.79,36.5,36.32,20-03-2024,scanId-5f1456ba-a408-4f64-a395-45287e8a79f7_2024_03_19_00_00_00.json-app-measures-version-5.0.0,11:12.1,5.0.0,2024,3
24,80d19722-8345-44fe-be4f-3a9f37b0ba35,4819.02,28.64,9.75,181.91,12912.46,30708.01,23.63,3095.19,171.46,19.97,48.21,47.51,68.73,20.42,15.21,12.8,15.38,9.32,8.68,52.16,46.97,29.31,31.64,18.94,19.91,48.34,4051.83,50.05,20.88,35.68,36.8,22.64,44.58,33.25,60.8,63.72,38.59,37.96,27-06-2025,scanId-80d19722-8345-44fe-be4f-3a9f37b0ba35_2025_06_26_00_00_00.json-app-measures-version-5.0.0,33:52.1,5.0.0,2025,6
25,8d5b2479-20df-4742-a9cc-b1c059ca56fa,3613.07,43.47,10.97,164.77,12553.79,21081.11,19.18,1597.48,157.4,17.5,55.67,54.4,52.2,19.3,19.28,13.15,13.94,7.07,7.66,58.88,62.38,30.47,30.32,17.61,17.75,64.95,3522.28,65.73,19.9,33.73,33.57,21.48,35.05,31.87,56.73,50.37,40.16,40.56,04-09-2024,scanId-8d5b2479-20df-4742-a9cc-b1c059ca56fa_2024_09_03_00_00_00.json-app-measures-version-5.0.0,13:17.7,5.0.0,2024,9
26,c67ce966-a132-4e1f-93a8-8527c0331cf6,4101.94,57.43,12.97,155.02,13924.17,22499.11,24.49,3545.91,108.86,20.62,50.69,58.2,58.58,17.51,16.38,15.8,14.6,9.82,8.31,54.24,60.04,35.21,27.35,17.58,20.08,54.79,3685.88,50.61,20.91,35.34,35.36,23.8,34.61,30.03,56.5,62.88,40.65,38.46,01-07-2024,scanId-c67ce966-a132-4e1f-93a8-8527c0331cf6_2024_06_30_00_00_00.json-app-measures-version-5.0.0,35:27.4,5.0.0,2024,6
27,c294c56d-46c4-4a30-985b-1de51d619d96,4814.88,35.75,8.0,171.03,9758.02,33605.2,24.08,3990.62,175.09,19.02,67.05,66.12,63.0,14.08,18.17,14.55,13.96,9.63,8.65,69.71,52.92,33.31,29.45,19.22,16.14,54.78,3809.59,62.11,20.98,34.84,33.5,21.86,37.95,28.18,69.91,53.12,36.22,38.56,17-11-2025,scanId-c294c56d-46c4-4a30-985b-1de51d619d96_2025_11_16_00_00_00.json-app-measures-version-5.0.0,37:23.2,5.0.0,2025,11
28,cf9cd678-75e5-4632-8d73-9500f46fe294,4214.48,29.67,5.77,238.63,12766.23,31850.16,19.28,1531.77,134.26,19.68,55.88,57.24,59.75,16.76,17.19,14.09,14.76,7.9,9.3,62.33,56.59,34.43,34.18,18.28,17.01,52.32,4197.76,54.0,20.69,34.79,36.61,21.71,34.36,35.64,66.47,67.09,41.91,38.96,18-01-2025,scanId-cf9cd678-75e5-4632-8d73-9500f46fe294_2025_01_17_00_00_00.json-app-measures-version-5.0.0,56:11.2,5.0.0,2025,1
29,99bffff5-14d6-4eae-b63f-7e16b5f3c826,4660.52,41.87,12.21,246.96,9768.1,23788.43,21.09,3516.32,100.24,19.38,68.75,60.49,55.0,19.81,19.25,14.42,14.66,7.37,8.04,54.33,53.58,33.75,35.57,19.7,16.84,59.38,3624.45,48.93,18.58,35.72,33.04,22.83,37.64,31.76,61.39,65.83,39.34,39.5,05-09-2024,scanId-99bffff5-14d6-4eae-b63f-7e16b5f3c826_2024_09_04_00_00_00.json-app-measures-version-5.0.0,12:28.1,5.0.0,2024,9
30,ad95823a-8eff-4458-ab37-049a83dd3092,4681.46,26.88,11.25,196.38,10704.88,29922.82,19.94,3765.08,173.73,18.21,62.87,49.27,68.45,15.6,19.2,12.14,14.76,8.82,8.57,66.17,47.03,34.0,26.94,21.06,16.4,61.91,3524.41,56.84,19.95,36.5,35.18,20.7,35.06,35.46,62.12,52.82,41.86,38.49,25-08-2025,scanId-ad95823a-8eff-4458-ab37-049a83dd3092_2025_08_24_00_00_00.json-app-measures-version-5.0.0,39:56.2,5.0.0,2025,8
31,670edb18-c7f5-4c83-9749-67215b194ce8,3673.4,36.98,12.34,208.41,12671.02,27165.56,20.15,3684.8,93.44,17.06,59.43,48.57,53.12,19.93,14.64,13.06,14.67,8.44,9.17,57.05,54.45,33.67,31.75,18.33,21.99,49.53,3701.63,57.44,19.82,33.82,33.18,21.76,40.18,30.41,56.8,67.68,36.52,38.82,22-10-2025,scanId-670edb18-c7f5-4c83-9749-67215b194ce8_2025_10_21_00_00_00.json-app-measures-version-5.0.0,34:16.8,5.0.0,2025,10
32,980d72fd-b164-40d7-99fd-c2a485631f74,4186.75,47.58,7.47,207.79,9846.23,24051.37,20.85,1911.84,155.13,21.74,56.13,64.14,62.24,17.87,15.23,15.01,12.23,8.83,9.05,53.28,67.55,25.79,25.01,19.71,18.72,63.61,3840.63,68.26,19.6,36.48,33.23,21.14,36.6,32.38,48.95,67.31,41.97,40.72,01-03-2025,scanId-980d72fd-b164-40d7-99fd-c2a485631f74_2025_02_28_00_00_00.json-app-measures-version-5.0.0,48:17.7,5.0.0,2025,2
33,f472c2fd-f1e2-450b-8d4e-e6ca84ef9570,4278.23,59.45,9.59,169.16,8698.22,34913.19,19.72,1990.39,174.18,19.51,48.77,47.19,55.6,14.72,15.36,15.01,14.7,7.41,9.36,69.37,45.55,33.87,28.6,21.36,19.05,52.6,4286.35,68.77,21.2,33.34,36.84,20.56,39.08,34.49,65.82,51.75,38.63,38.33,15-11-2024,scanId-f472c2fd-f1e2-450b-8d4e-e6ca84ef9570_2024_11_14_00_00_00.json-app-measures-version-5.0.0,40:31.1,5.0.0,2024,11
34,97223281-4685-46bd-b26e-57a67626743a,3543.47,37.59,10.79,174.87,12638.29,20945.66,22.25,2928.28,97.07,19.89,63.49,65.65,58.2,17.7,15.62,13.31,12.5,7.8,8.82,47.07,67.59,31.1,27.58,19.26,19.49,46.67,4018.34,60.09,20.24,34.46,35.05,22.89,39.39,35.09,57.99,50.45,40.13,40.37,01-06-2024,scanId-97223281-4685-46bd-b26e-57a67626743a_2024_05_31_00_00_00.json-app-measures-version-5.0.0,54:57.5,5.0.0,2024,5
35,fc7dead5-243c-4bde-aff1-1603712256f9,4419.53,38.41,10.21,153.26,14599.93,24835.4,23.13,3146.71,168.74,19.45,55.68,49.49,58.86,20.27,20.9,14.56,13.22,8.43,9.97,54.47,51.72,34.53,34.62,16.14,16.31,66.12,4149.83,57.15,21.2,33.55,35.98,21.5,35.96,33.93,51.45,63.85,36.3,39.21,09-02-2025,scanId-fc7dead5-243c-4bde-aff1-1603712256f9_2025_02_08_00_00_00.json-app-measures-version-5.0.0,43:23.6,5.0.0,2025,2
36,cbbbbdf1-952a-46b3-a8ae-6b27e946dbc2,3983.12,54.35,8.23,197.65,11869.8,20321.64,22.2,2366.04,112.94,19.26,51.81,67.46,56.4,20.44,20.4,12.72,13.59,9.48,8.31,62.36,45.9,26.6,35.98,21.58,16.48,59.42,4229.72,60.02,21.49,36.89,33.38,23.81,39.0,35.56,61.4,53.17,38.62,36.36,06-08-2024,scanId-cbbbbdf1-952a-46b3-a8ae-6b27e946dbc2_2024_08_05_00_00_00.json-app-measures-version-5.0.0,37:46.2,5.0.0,2024,8
37,873e346e-8ba1-4a85-9226-2122a6473e76,4064.42,45.05,7.38,168.07,8969.41,22910.85,21.94,3806.53,163.75,19.4,55.48,52.37,69.14,14.33,19.26,15.97,13.91,7.36,7.27,49.25,66.12,26.56,30.11,17.07,18.37,66.82,3988.51,61.39,20.51,35.47,36.41,23.99,39.39,33.28,53.34,67.7,41.44,36.09,12-02-2024,scanId-873e346e-8ba1-4a85-9226-2122a6473e76_2024_02_11_00_00_00.json-app-measures-version-5.0.0,52:45.9,5.0.0,2024,2
38,0a40830a-7f97-4d78-a482-6526ac930365,4567.83,43.87,7.44,179.06,12098.16,23743.97,19.84,3452.27,92.08,22.24,51.06,50.2,65.09,20.93,19.2,15.91,15.89,9.46,8.77,66.71,56.21,26.45,29.24,17.22,19.01,58.33,3584.13,47.85,21.51,33.11,33.74,20.89,38.14,33.06,66.2,60.93,41.2,36.13,08-04-2025,scanId-0a40830a-7f97-4d78-a482-6526ac930365_2025_04_07_00_00_00.json-app-measures-version-5.0.0,26:47.3,5.0.0,2025,4
39,e6bbb567-0209-4637-838d-7398db5e3a5d,4707.88,59.45,12.8,169.55,10000.75,26873.93,20.47,3659.33,161.48,19.34,51.52,59.36,55.63,14.64,18.14,13.37,14.53,9.0,9.7,68.25,53.78,25.89,33.61,21.27,16.95,62.09,4181.21,58.58,19.76,34.39,36.84,23.09,36.97,33.69,52.94,48.93,40.09,37.32,07-09-2025,scanId-e6bbb567-0209-4637-838d-7398db5e3a5d_2025_09_06_00_00_00.json-app-measures-version-5.0.0,31:46.2,5.0.0,2025,9
40,3056ece1-75fa-4859-b557-958eb0bc98cc,4726.26,49.64,14.61,207.94,14187.43,21569.07,20.85,2478.77,167.83,18.75,53.0,47.21,53.5,18.73,15.59,14.31,13.34,7.67,9.92,49.73,48.34,32.31,28.97,20.94,16.08,46.54,4027.81,57.14,20.61,35.13,33.89,21.55,36.34,34.95,49.37,65.22,40.05,40.59,09-07-2024,scanId-3056ece1-75fa-4859-b557-958eb0bc98cc_2024_07_08_00_00_00.json-app-measures-version-5.0.0,45:40.3,5.0.0,2024,7
41,cd36c6fd-1d99-41cd-8a73-2495e7fce27a,4081.18,57.51,14.4,207.53,8475.67,33154.93,20.22,2520.87,136.08,21.42,56.4,63.78,58.91,16.77,15.01,14.69,13.97,7.93,7.42,55.32,49.5,28.34,25.43,18.6,19.28,60.64,3996.15,56.52,21.51,36.69,35.56,22.19,37.06,32.76,58.7,47.22,38.67,40.95,22-08-2024,scanId-cd36c6fd-1d99-41cd-8a73-2495e7fce27a_2024_08_21_00_00_00.json-app-measures-version-5.0.0,10:32.7,5.0.0,2024,8
42,3130d64e-634f-4d72-b4e7-30196718969b,3949.34,59.89,6.02,240.23,8113.56,31356.44,22.68,3707.0,149.69,17.65,68.27,59.71,54.43,20.14,19.48,14.88,14.31,9.32,9.23,51.11,62.87,26.47,31.98,16.18,18.46,55.07,4462.27,49.83,19.43,36.31,34.58,21.27,37.05,35.05,61.67,66.71,40.54,40.22,31-05-2024,scanId-3130d64e-634f-4d72-b4e7-30196718969b_2024_05_30_00_00_00.json-app-measures-version-5.0.0,32:36.2,5.0.0,2024,5
43,9e37eef3-7d7c-44c2-8022-0ee9ddbe75a8,4896.97,38.1,11.5,242.84,13592.4,25958.88,19.05,1541.29,127.01,18.61,57.57,60.29,52.36,19.13,14.76,15.76,12.39,8.69,8.87,45.08,60.61,33.76,33.21,17.02,17.63,52.88,3949.68,54.86,19.82,36.2,36.39,21.45,35.18,34.1,64.07,65.23,41.02,36.47,09-08-2025,scanId-9e37eef3-7d7c-44c2-8022-0ee9ddbe75a8_2025_08_08_00_00_00.json-app-measures-version-5.0.0,42:27.1,5.0.0,2025,8
44,e2714b13-cc17-4504-a416-4029fa64c339,4763.9,50.59,7.35,199.59,9295.43,31924.49,24.96,1872.92,128.37,18.95,60.94,60.11,62.46,16.21,20.23,13.97,13.24,9.97,7.27,58.32,55.58,34.06,29.17,21.47,16.66,52.29,4293.37,48.8,20.24,35.22,35.36,21.03,38.95,32.58,60.28,67.06,37.82,40.16,03-02-2025,scanId-e2714b13-cc17-4504-a416-4029fa64c339_2025_02_02_00_00_00.json-app-measures-version-5.0.0,11:13.2,5.0.0,2025,2
45,e359d341-701d-4fff-9f3c-92d0a69627e6,4870.24,29.42,12.65,219.18,10493.95,27786.36,19.83,3773.41,123.38,17.06,63.08,50.37,55.86,16.18,20.95,15.49,12.15,9.9,8.05,45.99,61.33,33.53,31.33,20.15,19.1,42.79,3661.7,54.78,20.78,33.18,34.91,20.69,36.11,30.09,58.89,46.01,39.51,38.66,26-11-2024,scanId-e359d341-701d-4fff-9f3c-92d0a69627e6_2024_11_25_00_00_00.json-app-measures-version-5.0.0,50:19.1,5.0.0,2024,11
46,2ac82170-289a-492a-a646-987f0969bc62,4491.64,51.2,11.5,225.43,8494.96,21010.59,19.71,1878.42,101.15,17.73,68.37,58.21,65.0,17.74,17.64,14.87,12.35,8.94,8.18,68.43,60.28,30.24,33.32,16.84,21.28,64.81,4355.79,67.92,20.12,36.24,34.15,23.89,37.2,28.73,60.49,62.68,37.9,39.56,05-02-2025,scanId-2ac82170-289a-492a-a646-987f0969bc62_2025_02_04_00_00_00.json-app-measures-version-5.0.0,32:11.9,5.0.0,2025,2
47,f8466944-64a7-4c10-a929-cf21deb8b6e8,4052.02,51.06,13.17,218.05,13763.01,26616.35,19.06,3040.35,131.54,18.54,63.42,60.65,53.28,20.53,16.7,12.49,13.34,7.22,8.99,67.44,66.74,34.69,27.4,21.49,17.38,44.46,4185.04,46.85,19.51,34.89,33.16,23.3,33.35,30.88,66.37,46.25,36.35,38.92,21-06-2025,scanId-f8466944-64a7-4c10-a929-cf21deb8b6e8_2025_06_20_00_00_00.json-app-measures-version-5.0.0,32:55.3,5.0.0,2025,6
48,0c656346-999c-4745-966a-db98a68ce726,4147.76,41.32,8.81,218.23,10461.71,26313.87,24.66,3989.56,149.69,22.32,49.25,64.62,57.18,20.99,14.36,14.2,15.68,9.91,7.86,52.36,47.58,33.83,30.53,17.03,18.89,67.49,4122.06,64.63,21.57,35.48,33.3,23.38,44.23,31.46,64.78,63.84,39.58,36.97,18-06-2024,scanId-0c656346-999c-4745-966a-db98a68ce726_2024_06_17_00_00_00.json-app-measures-version-5.0.0,18:39.8,5.0.0,2024,6
49,6a8e02ed-8930-4c15-aba4-166ee4f6e354,3904.72,51.15,12.95,181.56,12207.41,27429.48,23.2,2414.43,126.1,17.65,69.22,51.6,68.47,16.46,18.05,12.79,13.02,9.36,7.56,69.33,58.71,25.97,30.38,18.38,17.52,61.38,4266.05,55.24,21.55,35.45,36.01,23.0,40.17,29.45,62.23,56.04,39.11,38.83,31-10-2024,scanId-6a8e02ed-8930-4c15-aba4-166ee4f6e354_2024_10_30_00_00_00.json-app-measures-version-5.0.0,12:16.7,5.0.0,2024,10
50,2624fc2f-eed2-4aed-9bdd-9b43791f19bd,3994.67,48.19,9.43,234.21,8509.53,21394.59,23.48,2545.69,135.62,19.54,62.42,67.06,53.87,18.8,19.72,13.73,14.46,9.46,8.77,68.38,56.63,35.46,33.67,16.81,18.13,59.34,3889.79,59.27,20.14,36.65,34.25,20.42,35.71,32.74,53.49,50.45,37.34,40.51,21-04-2024,scanId-2624fc2f-eed2-4aed-9bdd-9b43791f19bd_2024_04_20_00_00_00.json-app-measures-version-5.0.0,44:21.2,5.0.0,2024,4
