orderlineid,orderid,itemid,cancelledtotaldiscounts,maxappeasementamount,orderlinesubtotal,orderlinetotal,quantity,refundprice,returnlinetotalwithoutfees,returnablelinetotal,returnablequantity,taxoverridevalue,taxableamount,totalcharges,totaldiscountonitem,totaldiscounts,totaltaxes,unitprice,messageid,maxfulfillmentstatusid,minfulfillmentstatusid,fulfillmentstatus,isonhold,isreturn,isevenexchange,iscancelled,parentorderlineid,parentorderid,createdtimestamp,orderline_pk
2,122000009,800123,0.0,27.32,267.0,240.3,3,0.0,0.0,240.3,0,1.1,240.3,14.84,26.7,26.7,19.22,89.0,eceb7d4e-bbe8-4bcd-973c-ef8c3de0d727,3000,3000,Cancelled,True,False,False,False,NONE,NONE,2022-03-25T00:00:00.000,6082595481873552892
3,122000009,1009608,0.0,17.56,148.5,118.8,3,0.0,0.0,118.8,0,4.86,118.8,10.05,29.7,29.7,9.5,49.5,aeb98eab-1f9a-444c-858e-2c936c616764,3000,3000,Cancelled,False,False,False,False,NONE,NONE,2022-03-25T00:00:00.000,6905288281125720557
1,122000010,902345,0.0,9.01,149.98,134.98,2,0.0,0.0,134.98,0,4.35,134.98,10.1,15.0,15.0,10.8,74.99,815941d4-744a-45c7-a4e1-e8c6ea0be6f8,4000,4000,Fulfilled,False,False,False,False,NONE,NONE,2025-06-13T00:00:00.000,6694646924574468405
1,122000011,800123,0.0,29.43,267.0,213.6,3,0.0,0.0,213.6,0,3.83,213.6,10.23,53.4,53.4,17.09,89.0,f9ba3e92-66e0-4b0d-b647-75056604a85b,4000,4000,Fulfilled,False,False,False,False,NONE,NONE,2024-03-09T00:00:00.000,6519837771064661644
2,122000011,1222647,0.0,20.98,119.0,89.24,2,0.0,0.0,89.24,0,3.35,89.24,11.79,29.76,29.76,7.14,59.5,cdeb2d31-4432-4f78-89a0-011018be54ef,4000,4000,Fulfilled,False,False,False,False,NONE,NONE,2024-03-09T00:00:00.000,6515942864183832920
3,122000011,775376,0.0,31.94,294.0,220.5,3,0.0,0.0,220.5,0,2.24,220.5,10.2,73.5,73.5,17.64,98.0,78b9a4c0-a6f0-4c45-b100-74eebd4a4771,4000,4000,Fulfilled,False,False,False,False,NONE,NONE,2024-03-09T00:00:00.000,6152367309164295089
4,122000011,1009608,0.0,44.3,99.0,99.0,2,0.0,0.0,99.0,0,3.32,99.0,6.27,0.0,0.0,7.92,49.5,39cebcbd-9a3d-4ae0-9b60-76ba37d46aef,4000,4000,Fulfilled,False,False,False,False,NONE,NONE,2024-03-09T00:00:00.000,6533469263055076315
1,122000012,1222483,0.0,31.64,237.0,237.0,3,0.0,0.0,237.0,0,4.13,237.0,14.2,0.0,0.0,18.96,79.0,465bed40-4173-4f3c-87cd-b95ad71148aa,3000,3000,Fulfilled,False,False,False,False,NONE,NONE,2022-07-26T00:00:00.000,6171837664551198564
2,122000012,1222647,0.0,12.77,178.5,133.86,3,0.0,0.0,133.86,0,4.48,133.86,7.69,44.64,44.64,10.71,59.5,44eff480-0c27-4cf3-aecf-0d71b74253a4,3000,3000,Fulfilled,False,False,False,False,NONE,NONE,2022-07-26T00:00:00.000,6624214414512315077
3,122000012,902345,0.0,0.02,224.97,179.97,3,0.0,0.0,179.97,0,0.34,179.97,5.58,45.0,45.0,14.4,74.99,51a6dffd-189a-4b2f-a921-ea98b5b41abe,3000,3000,Fulfilled,True,False,False,False,NONE,NONE,2022-07-26T00:00:00.000,6083026994838775464
1,122000013,902345,0.0,46.39,224.97,224.97,3,0.0,0.0,224.97,0,4.47,224.97,5.83,0.0,0.0,18.0,74.99,ad0a17c9-0a17-4d3c-88c8-1e0f1034ab14,3000,3000,Processing,False,False,False,False,NONE,NONE,2024-07-25T00:00:00.000,6033654766692395168
2,122000013,900789,0.0,10.99,163.5,138.99,3,0.0,0.0,138.99,0,0.91,138.99,8.42,24.51,24.51,11.12,54.5,eabd1d0a-9e1d-4866-8a42-c3dfa24678d5,3000,3000,Processing,False,False,False,False,NONE,NONE,2024-07-25T00:00:00.000,6122667217681294033
3,122000013,1222483,0.0,0.26,79.0,63.2,1,0.0,0.0,63.2,0,3.68,63.2,5.8,15.8,15.8,5.06,79.0,5697a717-a49a-45eb-b01a-5d5d831bd3b2,3000,3000,Processing,True,False,False,False,NONE,106274795,2024-07-25T00:00:00.000,6967442139593429268
4,122000013,900789,0.0,40.37,109.0,109.0,2,0.0,0.0,109.0,0,1.92,109.0,8.78,0.0,0.0,8.72,54.5,2a675946-dbd1-4d89-9983-701aa90f9c4c,3000,3000,Processing,False,False,False,False,NONE,NONE,2024-07-25T00:00:00.000,6342146310952417776
1,122000014,901234,0.0,4.82,119.97,119.97,3,0.0,0.0,119.97,0,2.45,119.97,7.12,0.0,0.0,9.6,39.99,e40e3795-93b4-4413-ad1d-847e8dad65a5,2000,2000,Cancelled,False,False,False,False,NONE,163645470,2022-02-23T00:00:00.000,6043968684512594342
2,122000014,800456,0.0,19.67,249.0,186.75,1,0.0,0.0,186.75,0,2.15,186.75,14.59,62.25,62.25,14.94,249.0,f7e5ee92-2a64-433f-ab4e-3915eca42325,2000,2000,Cancelled,True,False,False,False,NONE,NONE,2022-02-23T00:00:00.000,6189679042781895789
1,122000015,1222647,0.0,5.89,59.5,50.58,1,0.0,0.0,50.58,0,0.3,50.58,6.61,8.92,8.92,4.05,59.5,312a8ca5-271b-4234-b579-381335c3e277,2000,2000,Pending,True,False,False,False,NONE,NONE,2022-08-26T00:00:00.000,6958892023147617549
1,122000016,775376,0.0,22.81,294.0,294.0,3,0.0,0.0,294.0,0,3.67,294.0,12.67,0.0,0.0,23.52,98.0,dac1886e-7d5c-494b-aea4-a5cfed4f9640,3000,3000,Processing,False,False,False,False,NONE,NONE,2025-06-16T00:00:00.000,6621830945699213140
1,122000017,900789,0.0,29.63,109.0,98.1,2,0.0,0.0,98.1,0,4.43,98.1,13.06,10.9,10.9,7.85,54.5,104cc261-61e3-466f-81c4-5a5b41b6f151,3000,3000,Shipped,True,False,False,False,NONE,NONE,2025-09-11T00:00:00.000,6679151851112457709
2,122000017,1222647,0.0,48.86,119.0,101.16,2,0.0,0.0,101.16,0,4.17,101.16,5.21,17.84,17.84,8.09,59.5,75a15af2-efbf-408e-808c-814acbe548fa,3000,3000,Shipped,True,False,False,False,NONE,NONE,2025-09-11T00:00:00.000,6825758656690199970
3,122000017,800456,0.0,10.86,498.0,498.0,2,0.0,0.0,498.0,0,0.21,498.0,5.04,0.0,0.0,39.84,249.0,c8ee2ed0-b825-4f93-87cd-67cf6bbadfe2,3000,3000,Shipped,False,False,False,False,NONE,NONE,2025-09-11T00:00:00.000,6304069502681323125
1,122000018,1009608,0.0,1.61,99.0,74.24,2,0.0,0.0,74.24,0,0.12,74.24,8.93,24.76,24.76,5.94,49.5,9dc9f038-5e70-4195-892b-bee245c7bdb6,3000,3000,Pending,False,False,False,False,NONE,NONE,2022-04-16T00:00:00.000,6817308520159117727
2,122000018,902345,0.0,14.53,149.98,112.48,2,0.0,0.0,112.48,0,3.56,112.48,14.48,37.5,37.5,9.0,74.99,a623ea3e-d666-436f-b48f-d25721d3e910,3000,3000,Pending,True,False,False,False,NONE,NONE,2022-04-16T00:00:00.000,6943778672795510500
1,122000019,1222483,0.0,42.13,79.0,79.0,1,0.0,0.0,79.0,0,1.74,79.0,6.64,0.0,0.0,6.32,79.0,d141419d-70b0-47a8-b7fc-68825241a690,3000,3000,Pending,False,False,False,False,NONE,NONE,2022-05-23T00:00:00.000,6789932391796951860
2,122000019,1222483,0.0,38.33,79.0,67.15,1,0.0,0.0,67.15,0,0.26,67.15,14.46,11.85,11.85,5.37,79.0,2d89edcc-6537-4c5a-b09b-c1f7a0a7cc54,3000,3000,Pending,False,False,False,False,834,NONE,2022-05-23T00:00:00.000,6015001434445751937
1,122000020,775376,0.0,38.59,98.0,98.0,1,0.0,0.0,98.0,0,2.51,98.0,8.03,0.0,0.0,7.84,98.0,e8863776-a32a-4042-a7d5-d52b1c111ec6,3000,3000,Fulfilled,True,False,False,False,698,NONE,2021-07-04T00:00:00.000,6146271663167916447
2,122000020,775376,0.0,22.26,98.0,98.0,1,0.0,0.0,98.0,0,3.51,98.0,10.17,0.0,0.0,7.84,98.0,cdc5f3a9-607f-4129-9b62-b0858b1da4ef,3000,3000,Fulfilled,True,False,False,False,NONE,188517599,2021-07-04T00:00:00.000,6523283610610986537
3,122000020,800456,0.0,45.64,498.0,498.0,2,0.0,0.0,498.0,0,0.64,498.0,8.34,0.0,0.0,39.84,249.0,519b1576-029c-463f-855e-d992494de38b,3000,3000,Fulfilled,False,False,False,False,NONE,NONE,2021-07-04T00:00:00.000,6014405741529786710
4,122000020,900789,0.0,26.71,54.5,49.05,1,0.0,0.0,49.05,0,2.63,49.05,9.33,5.45,5.45,3.92,54.5,cd9a5308-34b6-4d5b-9def-b9410caaf6b0,3000,3000,Fulfilled,False,False,False,False,NONE,NONE,2021-07-04T00:00:00.000,6403427838196710734
1,122000021,800456,0.0,16.78,747.0,634.95,3,0.0,0.0,634.95,0,3.18,634.95,7.92,112.05,112.05,50.8,249.0,9104cbc6-d25d-41df-9a5d-506e5dde9c8a,3000,3000,Fulfilled,True,False,False,False,NONE,NONE,2024-09-30T00:00:00.000,6620696589211310757
2,122000021,902345,0.0,34.74,224.97,179.97,3,0.0,0.0,179.97,0,3.59,179.97,13.11,45.0,45.0,14.4,74.99,77ffa189-cd52-4fa1-8f5d-5ce0d2387ff4,3000,3000,Fulfilled,True,False,False,False,NONE,NONE,2024-09-30T00:00:00.000,6039206949920720168
3,122000021,1222483,0.0,48.71,237.0,237.0,3,0.0,0.0,237.0,0,3.25,237.0,11.57,0.0,0.0,18.96,79.0,d6e33622-1acb-4236-a4dc-eeeb10a29d9b,3000,3000,Fulfilled,True,False,False,False,NONE,NONE,2024-09-30T00:00:00.000,6406909756929927653
1,122000022,900789,0.0,3.83,163.5,122.64,3,0.0,0.0,122.64,0,3.22,122.64,12.68,40.86,40.86,9.81,54.5,c2037d6f-f0a0-4dd4-bef2-62e060f9f8ab,3000,3000,Cancelled,False,False,False,False,NONE,NONE,2021-09-02T00:00:00.000,6066817047702381165
1,122000023,900789,0.0,16.84,109.0,109.0,2,109.0,109.0,109.0,2,2.96,109.0,5.75,0.0,0.0,8.72,54.5,4adc2c39-1358-4d40-b986-be55e9e41a45,3000,3000,Cancelled,True,True,False,True,624,146247356,2024-07-22T00:00:00.000,6789434134623384347
2,122000023,1222483,19.75,38.89,79.0,59.25,1,59.25,59.25,59.25,1,3.87,59.25,5.92,19.75,19.75,4.74,79.0,12277146-643c-4450-9582-b3b511711915,3000,3000,Cancelled,True,True,True,True,NONE,NONE,2024-07-22T00:00:00.000,6586670253624379525
3,122000023,775376,39.2,34.78,196.0,156.8,2,156.8,156.8,156.8,2,2.04,156.8,5.54,39.2,39.2,12.54,98.0,c1b343c3-5982-433a-8ca0-43d783cd69aa,3000,3000,Cancelled,True,True,False,True,NONE,NONE,2024-07-22T00:00:00.000,6736606661358584376
1,122000024,1222647,0.0,40.78,59.5,59.5,1,0.0,0.0,59.5,0,1.02,59.5,7.5,0.0,0.0,4.76,59.5,52917058-3647-49b6-80ab-b1daf561239e,2000,2000,Processing,False,False,False,False,NONE,NONE,2025-04-11T00:00:00.000,6510658853288783385
2,122000024,902345,0.0,48.3,224.97,168.72,3,0.0,0.0,168.72,0,1.24,168.72,9.87,56.25,56.25,13.5,74.99,0e220a99-30ca-4be0-b3eb-ae121cb0346e,2000,2000,Processing,False,False,False,False,NONE,NONE,2025-04-11T00:00:00.000,6166303927094765415
1,122000025,901234,0.0,14.51,79.98,63.98,2,0.0,0.0,63.98,0,0.1,63.98,9.07,16.0,16.0,5.12,39.99,47e4d68b-33af-456b-93fc-5ea5d7e99942,4000,4000,Fulfilled,False,False,False,False,NONE,NONE,2025-09-17T00:00:00.000,6609051021658688570
1,122000026,1222647,0.0,1.21,178.5,160.65,3,0.0,0.0,160.65,0,3.6,160.65,11.38,17.85,17.85,12.85,59.5,8d89d8d6-b267-4d25-96b3-3f990d9434a1,5000,5000,Fulfilled,False,False,False,False,NONE,NONE,2022-02-17T00:00:00.000,6046710215711124566
2,122000026,901234,0.0,13.24,79.98,79.98,2,0.0,0.0,79.98,0,3.95,79.98,8.78,0.0,0.0,6.4,39.99,e921bc45-6cd8-457e-acb3-646c73cf4b13,5000,5000,Fulfilled,False,False,False,False,NONE,NONE,2022-02-17T00:00:00.000,6215879581552778790
1,122000027,901234,0.0,33.52,39.99,39.99,1,0.0,0.0,39.99,0,4.75,39.99,10.6,0.0,0.0,3.2,39.99,c4f46ba1-c71e-40c8-9c6f-b09f6af46011,2000,2000,Fulfilled,False,False,False,False,NONE,NONE,2025-09-08T00:00:00.000,6919408789567840054
2,122000027,775376,0.0,48.74,294.0,264.6,3,0.0,0.0,264.6,0,3.71,264.6,7.61,29.4,29.4,21.17,98.0,29aac631-0c7d-4362-af4c-1b3967ad820d,2000,2000,Fulfilled,False,False,False,False,NONE,NONE,2025-09-08T00:00:00.000,6349739990626461329
3,122000027,800456,0.0,25.8,747.0,672.3,3,0.0,0.0,672.3,0,1.66,672.3,12.63,74.7,74.7,53.78,249.0,5ce40702-b369-4951-8e97-cf8f35a03fa7,2000,2000,Fulfilled,False,False,False,False,NONE,NONE,2025-09-08T00:00:00.000,6120263681884597126
1,122000028,800123,0.0,7.18,267.0,213.6,3,0.0,0.0,213.6,0,2.77,213.6,8.28,53.4,53.4,17.09,89.0,8cbf7e0c-24a3-438d-af2d-1db9ece81a71,3000,3000,Shipped,False,False,False,False,NONE,NONE,2020-01-02T00:00:00.000,6026527357089636606
2,122000028,800123,0.0,34.15,178.0,178.0,2,0.0,0.0,178.0,0,3.55,178.0,14.55,0.0,0.0,14.24,89.0,03af0da8-c302-49ae-9df7-a1217432ddc5,3000,3000,Shipped,False,False,False,False,NONE,NONE,2020-01-02T00:00:00.000,6132622054440658587
1,122000029,901234,0.0,5.95,119.97,119.97,3,0.0,0.0,119.97,0,2.28,119.97,5.46,0.0,0.0,9.6,39.99,aa5e87e3-50d4-4093-98b8-7c4b120fc15b,3000,3000,Pending,True,False,False,False,NONE,NONE,2023-06-25T00:00:00.000,6900811854411605835
2,122000029,676596,0.0,6.34,139.0,139.0,2,0.0,0.0,139.0,0,4.13,139.0,13.03,0.0,0.0,11.12,69.5,7ed5f7de-4a43-4730-901b-cfbc33ab75dd,3000,3000,Pending,True,False,False,False,NONE,NONE,2023-06-25T00:00:00.000,6930322001285199431
1,122000030,1222647,0.0,21.2,59.5,53.55,1,0.0,0.0,53.55,0,4.15,53.55,8.11,5.95,5.95,4.28,59.5,a02c75e0-6a66-46d7-baeb-98eff8d1cfa2,3000,3000,Fulfilled,True,False,False,False,NONE,NONE,2020-01-23T00:00:00.000,6756070012160422557
2,122000030,775376,0.0,4.99,98.0,78.4,1,0.0,0.0,78.4,0,3.37,78.4,9.62,19.6,19.6,6.27,98.0,06f07218-4c83-4083-a026-9b24fa429f82,3000,3000,Fulfilled,True,False,False,False,NONE,NONE,2020-01-23T00:00:00.000,6195327569067602091
1,122000031,800123,0.0,14.09,267.0,267.0,3,0.0,0.0,267.0,0,4.92,267.0,12.1,0.0,0.0,21.36,89.0,3fa944b3-9105-4c46-990e-8cbe87cd6352,4000,4000,Pending,True,False,False,False,NONE,NONE,2023-07-23T00:00:00.000,6803940892626256551
2,122000031,775376,0.0,32.36,196.0,176.4,2,0.0,0.0,176.4,0,4.98,176.4,6.95,19.6,19.6,14.11,98.0,8454a847-87f4-4cab-93b0-7b83ad87dadf,4000,4000,Pending,True,False,False,False,NONE,NONE,2023-07-23T00:00:00.000,6561995488299790708
1,122000032,1009608,0.0,32.85,148.5,148.5,3,0.0,0.0,148.5,0,0.14,148.5,13.02,0.0,0.0,11.88,49.5,6264cbc0-1536-4390-81b7-da9288fe51d0,3000,3000,Fulfilled,True,False,False,False,NONE,NONE,2024-12-06T00:00:00.000,6954754210068216717
2,122000032,775376,0.0,38.19,294.0,249.9,3,0.0,0.0,249.9,0,1.63,249.9,12.49,44.1,44.1,19.99,98.0,0cc3dff6-ed55-4977-90a7-f7c72c9ff160,3000,3000,Fulfilled,True,False,False,False,NONE,NONE,2024-12-06T00:00:00.000,6371185647625957422
3,122000032,676596,0.0,15.95,139.0,111.2,2,0.0,0.0,111.2,0,2.26,111.2,6.29,27.8,27.8,8.9,69.5,5e991a03-077c-42d7-b426-eeba01424fc4,3000,3000,Fulfilled,True,False,True,False,NONE,NONE,2024-12-06T00:00:00.000,6205703805427698815
1,122000033,1009608,0.0,0.41,49.5,42.08,1,0.0,0.0,42.08,0,2.9,42.08,5.26,7.42,7.42,3.37,49.5,dd5b5fe1-1dd3-4690-8a75-9891100081a2,2000,2000,Cancelled,True,False,False,False,NONE,NONE,2024-07-27T00:00:00.000,6805896316147594576
2,122000033,1222483,0.0,16.61,79.0,79.0,1,0.0,0.0,79.0,0,0.98,79.0,10.38,0.0,0.0,6.32,79.0,f0c4d2ca-8812-4cd8-ab6b-3fa3e5884685,2000,2000,Cancelled,False,False,False,False,NONE,NONE,2024-07-27T00:00:00.000,6835360280475452315
3,122000033,676596,0.0,49.93,69.5,52.12,1,0.0,0.0,52.12,0,0.05,52.12,5.71,17.38,17.38,4.17,69.5,bb72ef68-f4d0-468d-95b7-41021dd6b77f,2000,2000,Cancelled,True,False,False,False,NONE,NONE,2024-07-27T00:00:00.000,6191734039982739065
4,122000033,1222483,0.0,23.37,237.0,201.45,3,0.0,0.0,201.45,0,4.72,201.45,8.92,35.55,35.55,16.12,79.0,cabc8cff-a5b1-470a-a45b-fddd3d92647d,2000,2000,Cancelled,True,False,False,False,NONE,NONE,2024-07-27T00:00:00.000,6078123920508768220
1,122000034,900789,0.0,38.93,54.5,40.88,1,0.0,0.0,40.88,0,4.47,40.88,9.54,13.62,13.62,3.27,54.5,cff05b35-1ef0-4df0-be97-7152604ded61,5000,5000,Fulfilled,True,False,False,False,NONE,NONE,2024-09-12T00:00:00.000,6355392143816620731
1,122000035,901234,0.0,16.61,79.98,79.98,2,0.0,0.0,79.98,0,3.84,79.98,7.38,0.0,0.0,6.4,39.99,677d87a9-0cfe-47b9-adff-8f017ffc7f6a,4000,4000,Fulfilled,True,False,False,False,NONE,NONE,2020-04-20T00:00:00.000,6945435958009199480
2,122000035,901234,0.0,32.75,79.98,63.98,2,0.0,0.0,63.98,0,3.08,63.98,8.51,16.0,16.0,5.12,39.99,2240261e-a4eb-4f1f-9ed8-a7004acf6ba1,4000,4000,Fulfilled,True,False,False,False,NONE,NONE,2020-04-20T00:00:00.000,6414425200761822105
1,122000036,901234,0.0,22.78,119.97,119.97,3,0.0,0.0,119.97,0,4.83,119.97,13.92,0.0,0.0,9.6,39.99,973e48d7-a98a-4499-99a2-37078f6cf669,2000,2000,Processing,True,False,False,False,NONE,NONE,2023-10-14T00:00:00.000,6702105398372995993
2,122000036,775376,0.0,33.13,196.0,196.0,2,0.0,0.0,196.0,0,0.13,196.0,8.21,0.0,0.0,15.68,98.0,5ea2e41d-e3a9-487f-8618-51c6095f5b5b,2000,2000,Processing,False,False,False,False,NONE,NONE,2023-10-14T00:00:00.000,6471984215060570633
3,122000036,775376,0.0,29.26,196.0,156.8,2,0.0,0.0,156.8,0,3.35,156.8,5.57,39.2,39.2,12.54,98.0,6a5ac64b-b3fb-4c17-b527-f9d06406d107,2000,2000,Processing,False,False,False,False,NONE,NONE,2023-10-14T00:00:00.000,6180808415069385174
1,122000037,676596,0.0,39.04,139.0,118.16,2,0.0,0.0,118.16,0,2.54,118.16,11.82,20.84,20.84,9.45,69.5,c041867a-c732-4c81-ace4-cf8d9c62adae,3000,3000,Shipped,True,False,False,False,NONE,NONE,2022-10-09T00:00:00.000,6933398498025692787
1,122000038,901234,0.0,23.66,119.97,119.97,3,0.0,0.0,119.97,0,0.81,119.97,7.8,0.0,0.0,9.6,39.99,f9d4911a-dfdd-472c-96bb-c88524ab5a97,3000,3000,Shipped,False,False,False,False,NONE,NONE,2023-06-28T00:00:00.000,6970376409639632311
1,122000039,902345,0.0,9.19,74.99,67.49,1,0.0,0.0,67.49,0,4.56,67.49,10.17,7.5,7.5,5.4,74.99,3f4bbf14-beb9-45c9-9daf-b39729e3279d,3000,3000,Fulfilled,False,False,False,False,NONE,NONE,2024-10-20T00:00:00.000,6568678047732017093
1,122000040,1009608,0.0,31.89,49.5,42.08,1,0.0,0.0,42.08,0,0.11,42.08,9.57,7.42,7.42,3.37,49.5,7aacf108-7653-4c25-bcd3-65519c592519,4000,4000,Fulfilled,True,False,False,False,NONE,NONE,2023-01-11T00:00:00.000,6758156585372476691
2,122000040,800123,0.0,34.28,178.0,178.0,2,0.0,0.0,178.0,0,3.29,178.0,11.17,0.0,0.0,14.24,89.0,fb42b73f-e099-48f1-83aa-6398f5d133cc,4000,4000,Fulfilled,False,False,False,False,NONE,NONE,2023-01-11T00:00:00.000,6486150305904681696
